lemma	semantic_tags
فِي	 Z5  M6 
مِن	 Z5 A13.3 
عَلَى	 Z5  A1.1.1 M6 
أَنَّ	 Z5 Z8   
الَّذِي	 Z5 Z8 A13  
إِلَى	 Z5 M6 
هٰذا	 M6 Z5 Z8  
كان-ُ	 Z5 A3+   
لا	 Z6 S8- Z4 Z5 
عَن	 Z5  M6 
ما	 Z8 Z5 Z6  E3-  A13.3 
قَد	 A13.3 T1.3 A7+ 
إِنَّ	 Z5 Z8  
ذٰلِكَ	 Z5 Z8 A6.1+ 
أَو	 Z5 
لِ-	 Z5 M6 
هُوَ	 Z8m 
مَعَ	 Z5 S5+ T1.1.2 S1.1.3+ 
كُلّ	 N5.1+ A13.2 S5+
عَرَبِيّ	 Z2 Z2/Q3 Z2/S2m Z2/S2mf
لِمَ	 A2.2 
بَيْنَ	 Z5 N4 M6 
وَ	 Z5 
قال-ُ	 Q1.1 Q2.1 S7.1+  
ي	Z5
هِيَ	 Z8f 
بَعْدَ	 Z5 N4 
بِ	 Z5 M6 
بَعْض	 N5 Z5 A13.5 
غَيْر	 Z6 A6.1- A6.1-/Z8 Z5 
حَتَّى	 Z5 T1.3 A13.1 A1.8+ 
اللّٰه	 Z1/S9 Z1  S9 Z4 Z5  
كَما	 Z5 A13 A6.1+ Z4  
عَمَل	 I3.1 A1.1.1 Q4 K2 C1 X9.2+ A2.1+ A2.2 G3 
أَوَّل	 N4 Q2.2/A7+ A2.2 X2.5+ Q3 P1@ T4+ T1.1.1 T2+ A13.2 
يَوْم	 T1.1.2 T1.3 T1.1 N6+++  
عام	 T1.3 P1 
نَفْس	 A6.1+++ S5- Z8 S9 S2mf 
إِلّا	 A1.8- A13.1 Z4 Z5  A6.1- A6.1-/Z8 
لِ	 Z5 A5.1+ S8+ M6 Z5/A2.2
عالَم	 W1 S5+ A4.1
حَيْثُ	  Z5 A2.2
رَأَى-َ	  X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S9% 
حَياة	 L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ Z1f
أَيّ	 N5.1+ N5 A13.3 Z8 Z5 
ال	 Z5 
كَبِير	 N3.2+ N5+ A11.1+ A5.1+ X5.2+ A13.3 S7.1++ T3++ S7.1++/S2m T3++/S2m T3+/S2m 
عامّ	  A4.2- G3/S7.1+/S2m B3/H1 A6.2+ S5+ M7 A10+  
أَحَد	 N1 T3 T1.2 Z8 T1.3 
لَيْسَ	 Z6 
كَثِير	 N5+ I1.3+ A13.3 N6+ A5.2+% Z4
أُخْرَى	 A6.1- N5++ N6+
جَدِيد	 T3- T3--- 
أَكْثَر	 N5++ A13.3 N6++ N5+++ A13.2 N5+/A2.1 
سَنَة	 T1.3 P1
إِسْلامِيّ	S9 S9/S2m S9/O4.2
خِلالَ	 Z5 M6 
لٰكِنَّ	 A13.1 Z5 
ثُمَّ	 Z5 T1.1.1 N4 T1.2 A2.2+ 
إِذا	 Z7 Z5 
ن	Z5
سَعُودِيّ	 Z2 Z2/S2m Z2/S2mf
دَوْلَة	 G1.1 W3 F4/M7 M7 
مُسْلِم	S9/S2m
هُناكَ	 Z5 M6 T1.2 Z8 
قَبْلَ	 Z5 N4 
أَمْر	 X4.1 A11.1+ A9- S7.1+/Q2.2 I2.2/Q2.2 A4.1 G2.1+ G2.1 S7.1+ Q2.2 X9.1+ 
أَمْكَن	X7+ X9.1+ X9.2+ A7+
قام-ُ	 A1.1.1 S7.1+/A2.1 M1 M6 M2 M8 T2++ X2.1 S8+ I2.2 S1.2.5+ 
عِنْدَ	 Z5 T1.1.1 T1.2 
مِثْل	 Z5 A6.1+  
لِأَنَّ	 Z5/A2.2 
وَجَد-ِ	 A10+ X2.1 X6+ A3+ 
شَرِكَة	 I2.1/S5+ S5+ G3/S5+ S3.1 K4/S5+ I2.1/S5 G1.1 
إِسْلام	 S9 
كِتاب	 Q4.1 Q1.2 G2.1 I1/Q1.2 Q1.2/S9
آخَر	 A6.1- N5++ T4--- 
شَيْء	  O2 X4.1 A7- L2m 
إِنْسان	S2mf
أَ	Z5
عَدَد	 N1 N5 Q1.3 Q4.2 X4.1 S4  
تَمّ-ِ	 X6+ T2- X9.2++
أَمْرِيكِيّ	 Z2 Z2/S2m
ه	 Z5 
بِأَنَّ	 Z5 
عِلْم	 X2.2+ S3.2/B1% Y1 P1
مِنْطَقَة	 W3 M7 A4.1 N3.6  
سَبَب	 A2.2 X2.1 Q2.2 X4.1 
بَل	Z5 A13.6 A13.5
أَيْض	 B1  
حَدِيث	 T3- T3--- Q2.2 Q2.1 Q2.2/S9
واحِد	 N1 T3 T1.2 Z8 N5--- S5- M3 K5.2 A4.2+ 
ماء	 O1.2 W3/M4 B1 C1% F4 F1
عالِم	 Y1/S2m P1/S2m X2.2+
جَمِيع	 N5.1+ A13.2 S5+  
لٰكِن	 A13.1 Z5 
بَدَأ-َ	 T2+ E3- 
مَدِينَة	 M7c M7/I2.1c M7 
ذات	 A6.1+++ S5- A11.1+ O1 Z8 L1 Z5  
مَجال	 X4.1 M7 A4.1 W3 K5.1/M7 G3@ Q3 M5 Y1 Q4.2 N2
طَرِيق	 M3 X4.2 M6 M3/H3 N3.3 A1.1.1
