mwe_template	semantic_tags
□_punc 崖_noun	W3
□_punc 悬木_noun	L3
□_punc 接_verb	B5
□_punc 水_noun	A1.4 K5.1 O4.2+ C1 M2 A9+ X5.1+ I1.2 X2.1
□_punc 缰绳_noun 控制_verb 马_noun	O2 A1.7+ S7.1+
□_punc 著_verb	O4.1/B1
□_punc 藏_verb	A9+ I1 B5
□_punc 集_verb	A9+ I1 B5 M1 F1 M5 X2.3+
□_punc 集_verb 家_noun	A9+/S2mf G1.1/S2mf
□_punc 集品_noun	A9+ I1 B5
□_punc 面_noun	M6 G2.1@ Z5
一_adv 挥舞_verb	M1 M2
一_adv 烤_verb 即_adv 显_verb	A10-
一_adv 贬_verb 到底_adv	Q2.2/E2-
一_adv 跃_verb 而过_verb	M1 T1.2
一_adv 跳_verb 距离_noun	M1 N5+/A2.1
一_adv 辨_verb 示_verb 的_part 青铜_noun 币_noun	I1
一_num 丝_msr 不_adv 苟_verb	A4.2+ A1.3/N5.2+ common mwes are OK
一_num 丝_msr 光线_noun	X2.6+ E4.1+
一_num 个_msr	N3.1
一_num 个_msr 人_noun	S2mf/N5---
一_num 人_noun 对_prep 两_num 人_noun 的_part 比赛_noun	K5.1/S2mf K5.2/
一_num 代_msr	T1.3/S5+
一_num 件_msr 衣料_noun	B5/N5---
一_num 份_msr	N3.1
一_num 份_msr 食物_noun	F1
一_num 元_msr	N3.1
一_num 元_msr 银币_noun	I1
一_num 分_msr	N3.1/I1
一_num 分钱_msr	I1
一_num 卢比_msr 银币_noun	I1
一_num 卷_msr 软片_noun	O2/C1
一_num 周_msr 之_part 半_num	T1.3
一_num 周_msr 之半_noun	T1.2
一_num 呼吸_noun	B1/N5-
一_num 品脱_msr 的_part 容器_noun	O2
一_num 啜_msr	F1/N5--- F2/N5---
一_num 嚼_verb	F1/B1
一_num 回合_noun	N3.1
一_num 回合_noun	T1.3/K5.1 T1.3/K5.2
一_num 团_msr	N3.1
一_num 团_msr 人_noun	S5+
一_num 团_msr 教徒_noun	S9/S5+
一_num 场_msr	K5.1/N5---
一_num 块_msr	N3.1
一_num 块_msr 方糖_noun	F1/N5---
一_num 块_msr 面包_noun	F1/N5---
一_num 垒_msr 安打_noun	K5.1 K5.2
一_num 堆_msr	N3.1
一_num 夥_msr 土匪_noun	G2.1-/S2mf/N5+
一_num 大_adj 夥_msr	S2/S5+
一_num 夫_noun 多妻_adj 主义者_noun	X2.1/S2mf
一_num 套_msr	N3.1
一_num 套_msr 房间_noun	H2/N5--- H4
一_num 套钟_msr	H5	
