lemma	pos	semantic_tags
a	J	Z5
být	V	A3+ Z5
v	R	Z5
na	R	Z5
ten	P	Z8
on	P	Z8m
že	J	Z5 Z8
se	P	A3+ Z5
já	P	Z8mf
s	R	Z5
mít	V	A9+ Z5 A2.2 S4
ale	J	Z5
z	R	Z5
jeho	P	Z8m
do	R	Z5
k	R	Z5
jako	J	Z5
moci	V	A7+
svůj	P	Z8m
když	J	Z5
aby	J	Z5
říci	V	Q2.1 Z4%
o	R	Z5
ty	P	Z8mf
za	R	Z5
jak	D	Z5 A13.3
tak	D	Z5 A13.3
můj	P	Z8
pro	R	Z5
i	J	Z5
než	J	Z5
vědět	V	X2.2+ S3.2/B1%
nebo	J	Z5
jeden	C	N1 T3 T1.2
muset	V	S6+ A7+
člověk	N	S2mfc
po	R	Z5
země	N	G1.1c W3 F4/M7
chtít	V	X7+ S6+ A7+ S3.2 A9-
od	R	Z5
jenž	P	Z5 Z8
už	D	T1.1.1
rok	N	T1.3 P1c
velký	A	A5.1+ A11.1+ N3.2+ N5+ X5.2+ A13.3
jen	T	A14
dva	C	N1 T3 T1.2
stát	V	M6 M2 M8 M1 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.2 S1.2.5+
jít	V	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
pak	D	N4 Z5 T1.2
ani	J	A13.1
vidět	V	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
nový	A	T3-
však	J	Z5
jiný	A	A6.1-
evropský	A	Z2
mezi	R	Z5
myslet	V	X2.1
svět	N	W1 S5+c A4.1 N5+
celý	A	N5.1+
ne	T	Z6
před	R	Z5
dobrý	A	A5.1+ G2.2+ O4.2+ A1.5.2+ N3.2+
teď	D	T1.1.2 Z4
protože	J	Z5/A2.2
stát	N	G1.1c O4.1
takový	P	Z5 Z8
každý	A	N5.1+
nic	P	Z6/Z8
ruka	N	B1 O2 S8+ K5.2 I3.1/S2mf X9.1+/S2mf
kde	D	M6
ještě	D	T2++ Z4 E3+
něco	P	Z8
žádný	P	Z6
den	N	T1.3
hodně	D	N5++
u	R	Z5
život	N	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1
říkat	V	Q2.1 Z4%
vláda	N	G1.1c
oko	N	B1 X3.4
Evropa	N	Z2
kdyby	J	Z7
začít	V	T2+
druhý	C	A6.1-
nikdy	D	T1/Z6
malý	A	N3.2- N3.7- N5- T3- A11.1- S5-/I2.1 X3.2- A5.1-
kdo	P	Z8
politika	N	X7+ Q1.2
proč	D	A2.2
tvůj	P	Z8
politický	A	G1.2
hlava	N	B1 S7.1+/S2mf P1/S2mf X1 M6 A4.1 S2mf F2 H5/M4%
strana	N	A4.1 M6 N5.1- S7.3+/S5+c B1 S5+c S4c F1 S1.2
žena	N	S2.1f
sám	P	S5- A14
starý	A	T3+ Z4
muž	N	S2.2m
tam	D	M6 T1.2
čas	N	T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@
Harry	N	Z1mf
dveře	N	H2 H1@
pokud	J	Z7
dát	V	A9- A1.1.1
možná	D	A7
také	D	N5++
dobře	D	A5.1+ A13.3 A7+ B2+ Z4
přijít	V	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
dělat	V	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5
zeptat	V	Q2.2
kdy	D	Z5
dítě	N	S2mf/T3- S4mf
dokázat	V	A7+
pod	R	Z5
cesta	N	X4.2 M6 M3/H3 N3.3 A4.1 A1.1.1 T1.3
slovo	N	Q3 Q2.1 S9@
několik	C	N5-
věc	N	O2 X4.1 A7- S2mf L2mf
problém	N	A12- X4.1 B2-
vysoký	A	N3.7+ N5+ A11.1+ S7.1+ A5.1+ T3- X3.2 G2.2+ E4.1+ I1.3+ F3 O4.2- O4.6+ S9
dnes	D	T1.1.2
udělat	V	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5
krize	N	A12-
či	J	Z5
jestli	J	Z7
bez	R	Z5
mluvit	V	Q2.1
ekonomika	N	I2.1 I1.3-
otázka	N	Q2.2 X4.1
jediný	A	A14
při	R	Z5
nikdo	P	Z6
zdát	V	A8
práce	N	I3.1 A1.1.1 Q4 K2 C1
dostat	V	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
vlastní	A	A9+ S5-
mnoho	C	N5+
najít	V	A10+ X2.1 X6+
někdo	P	Z8mfc
až	T	Z5
podle	R	A9- A6.1+
slyšet	V	X3.2 X2.3+ G2.1@
válka	N	G3 S7.3
chvíle	N	T1.2 T1.1.2
tady	D	M6 T1.1.2 T1.2
