mwe_template	semantic_tags
Jeg_PRON vil_AUX hellere_ADV	E2++
procent_NOUN rabat_NOUN	I1.3-
niveau_NOUN standard_NOUN	A5.1
Ocean_NOUN	Z2
alliance_NOUN	S5+
sindet_ADJ	Df/E2+
orienteret_ADJ	Df
orienteret_ADJ	Df
revolution_NOUN	G1.2 A2.1+
mangel_NOUN	Df/N5-
til_ADP helvede_NOUN	Df/N5+
grænse_NOUN	Z2
egennavn_NOUN	T1.3
egennavn_NOUN med_ADP nummer_NOUN	T1.2
Hær_NOUN	Z3c
Avenue_NOUN	Z2
Centralkomité_NOUN	G1.1/S7.1+
Kongres_NOUN	G1.1
Korps_NOUN	Z3c
Ambassade_NOUN	Z3c
Fregatskvadron_NOUN	Z3c
Sygehus_NOUN	Z3c
Højkommission_NOUN	Z3c
MB_NOUN	P1/B3
Ocean_NOUN	Z2
Para_NOUN	Z3c
Gade_NOUN	Z2
Verdenskrig_NOUN	Z3
Bælte_NOUN	K5.1/S2mf
Audition_NOUN	K4
Århundrede_NOUN	T1.3
Klasseaccent_NOUN	Q3/S5+
Klassefamilier_NOUN	S4/S5+
Klassefamilie_NOUN	S4/S5+c
klasse_NOUN æresgrad_NOUN	P1
fætter_NOUN eller_CONJ kusine_NOUN	S4mf
division_NOUN	K5.1/S5+c A5.1-
gulv_NOUN	H2
form_NOUN	P1c
formstuderende_NOUN	P1/S2mf
gear_NOUN	M3
se_VERB	Df/A8
natur_NOUN	S1.2/Df
af_ADP	T1.2
af_ADP	T1.2
mulig_ADJ	Df+++
mulig_ADJ	Df+++
læsning_NOUN	G1.1
taler_NOUN	Q3/S2mf
stil_NOUN	Df
bryllupsdag_NOUN	T1.2/S4
bryllupsdag_NOUN	S4/T1.2
år_NOUN	T1.3 P1/S2mf
årsafhandling_NOUN	P1
årsprøve_NOUN	P1
år_NOUN	P1/S2mf
alle_DET optrædener_NOUN	A8/A5.2+
forrest_ADJ i_ADP sindet_NOUN	X5.1+
i_ADP træk_NOUN	N6+
fødder_NOUN under_ADP bordet_NOUN	S5+
hjertet_NOUN går_VERB ud_ADV til_ADP	E1
hjertet_NOUN gik_VERB ud_ADV til_ADP	E1
gammel_ADJ mand_NOUN	S4m
eje_VERB	Z8
egen_ADJ søde_ADJ måde_NOUN	X4.2/S5-
selv_NOUN	Z8
selver_NOUN	Z8
tiden_NOUN er_VERB kommet_VERB	T4
tider_NOUN	N6+
måde_NOUN at_PART omgå_VERB	M6 N4
siden_ADV	T1.1.1
substantiv_NOUN substantiv_NOUN tal_NUM	Z2
substantiv_NOUN substantiv_NOUN tal_NUM tal_NUM	Z2
substantiv_NOUN substantiv_NOUN proprium_PROPN	Z2
NOUN_NOUN PROPN_PROPN accent_NOUN NOUN_NOUN	Q3
NOUN_NOUN Bank_PROPN Holiday_NOUN NOUN_NOUN	T1.3/K1
NOUN_NOUN Corps_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Crescent_NOUN NOUN_NOUN	Z2
NOUN_NOUN First_ADJ School_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Lane_NOUN Campus_NOUN NOUN_NOUN	Z2
NOUN_NOUN Lapillus_NOUN	L2
NOUN_NOUN Pub_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Regiment_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Squash_NOUN Club_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Street_NOUN NOUN_NOUN	Z2
NOUN_NOUN Theatre_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Ward_NOUN NOUN_NOUN	Z3c
NOUN_NOUN Wharf_NOUN NOUN_NOUN	Z2
NOUN_NOUN accident_NOUN NOUN_NOUN	A1.4/Df
NOUN_NOUN ache_NOUN NOUN_NOUN	B2-
NOUN_NOUN addict_NOUN NOUN_NOUN	Df/X5.2++mfn
NOUN_NOUN age_NOUN times_NOUN NOUN_NOUN	T1.1.1
NOUN_NOUN siden_ADV	T1.1.1
NOUN_NOUN lidelse_NOUN	B2-
NOUN_NOUN og_CCONJ NOUN_NOUN	T1.3
NOUN_NOUN og_CCONJ NOUN_NOUN siden_ADV	T1.1.1
NOUN_NOUN og_CCONJ en_DET halv_DET gammel_ADJ	T3 T3/S2mf
NOUN_NOUN og_CCONJ en_DET halv_NOUN	N3.3 N3.5 N3.6 N3.4
NOUN_NOUN arrangement_NOUN	Df
NOUN_NOUN baseret_VERB	Df
NOUN_NOUN regning_NOUN	I1.2/Df
NOUN_NOUN blomst_NOUN	L3
NOUN_NOUN bog_NOUN	Q4.1/Df Q1.2/Df
NOUN_NOUN entusiast_NOUN	Df/X5.2+mf
NOUN_NOUN kage_NOUN	F1
NOUN_NOUN dreng_NOUN	Df/S2m
NOUN_NOUN klasse_NOUN	Df/P1c
NOUN_NOUN klub_NOUN	Df/S5+c
NOUN_NOUN farvet_ADJ	O4.3
NOUN_NOUN virksomhed_NOUN	Df/I2.1c
NOUN_NOUN bevidst_ADJ	Df/E6-
NOUN_NOUN land_NOUN	Z2
landbaseret_ADJ	M7
kursus_NOUN	Df/P1
grad_NOUN	Df/P1
afdeling_NOUN	Df/S5+c
sygdom_NOUN	B2-
forstyrrelse_NOUN	B2-
drevet_ADJ	Df/A2.2
element_NOUN	Df
miljø_NOUN	Df
udstyr_NOUN	Df/O2
eksamen_NOUN	P1/Df
konfrontere_VERB	M6
faktor_NOUN	Df
fan_NOUN	Df/E2+mf
firma_NOUN	Df/I2.1c
tærte_NOUN	F1
fri_ADJ	Df/Z6
udstyr_NOUN	B5/Df Df/O2
gearet_ADJ	Df
ansættelse_NOUN	I2.2/Df
ferie_NOUN	K1/T1.3
ind_ADP og_CCONJ ud_ADP	N6+
industrier_NOUN	I4/Df
industri_NOUN	I4/Dfc
infektion_NOUN	B2-
skader_NOUN	B2-
skade_NOUN	B2-
like_ADJ	Df
lined_VERB	O4.1
elsker_NOUN	Df/E2+mf
vred_ADJ	Df/X5.2+
marked_NOUN	Df/I2.2
kamp_NOUN	K5.1
mølle_NOUN	Df/H1c
mine_NOUN	I4/Dfc
måneder_NOUN	T1.3
muskel_NOUN	B1
af_ADP	Z2 Z3c
af_ADP det_DET	Df/A5.1+++mfnc
off_ADV	K1/T1.3
lovovertrædelse_NOUN	G2.1-/Df
på_ADP end_NOUN	T1.3+
på_ADP ristet_ADJ brød_NOUN	F1
ude_ADV	K1/T1.3
output_NOUN	Df/N5
billede_NOUN	Df/C1 Df/Q4.3
tærte_NOUN	F1
tærter_NOUN	F1
tonehøjde_NOUN	K5.1/M7
plante_NOUN	L3 I4/Dfc
bøn_NOUN	S9
profession_NOUN	Df/I3.1c
læser_NOUN	Df/Q4.1mf
udskiftningsoperation_NOUN	B3
rum_NOUN	Df/H2
sandwich_NOUN	F1
sauce_NOUN	F1
sektor_NOUN	Dfc
frø_NOUN	L3
shopping_NOUN	I2.2/Df
side_NOUN	M7
situation_NOUN	Df
samfund_NOUN	Df/S5+
samfund_NOUN	Df/S5+c
suppe_NOUN	F1
tale_NOUN	Q3
wokstegning_NOUN	F1
ting_NOUN	Df/O2 Df
tærte_NOUN	F1
te_NOUN	F2
term_NOUN	T1.3/P1
ting_NOUN	Df
