lemma	pos	semantic_tags
&	CCONJ	Z5
&amp;	CCONJ	Z5
&pound;	NOUN	I1
'	PART	Z5
'72ish	NUM	T1.3
'80ish	NUM	T1.3
'Castle	PROPN	Z2
'bout	ADP	Z5
'cause	SCONJ	Z5/A2.2
'cos	SCONJ	Z5
'course	ADV	Z4
'd	AUX	A7+
'e	PRON	Z8m
'em	PRON	Z8
'im	PRON	Z8m
'is	DET	Z8
'll	AUX	T1.1.3
'm	VERB	A3+ Z5
'n'	CCONJ	Z5
'r'	VERB	A3+ Z5
're	VERB	A3+ Z5
's	PART	Z5
's	VERB	A9+ A3+ A2.2 Z5
't	PRON	Z8
'til	ADP	Z5
'til	SCONJ	Z5
'till	SCONJ	Z5
'un	NUM	N1
've	VERB	A9+ A2.2 Z5
*	X	Z5
*%	NUM	N5
*'C	NOUN	O4.6
*-a-year	NOUN	N5 I1
*-acre	NOUN	N3.6
*-bed	ADJ	N3.2/H4
*-employee	ADJ	N3.2 N5
*-foot	ADJ	N3.7
*-full	ADJ	N3.4
*-hour	ADJ	T1.3
*-inch	NOUN	N3.7
*-metre	NOUN	N3.7
*-mile	NOUN	N3.3
*-minute	ADJ	T1.3
*-month	ADJ	T1.3
*-month	NOUN	T1.3
*-odd	ADJ	N5 T3
*-page	ADJ	Q1.2
*-plus	ADJ	N5 T3
*-point	ADJ	N3.1
*-something	NOUN	N5 T3
*-somethings	NOUN	N5 T3
*-storey	ADJ	H1/N3.7
*-strong	ADJ	N3.2
*-weekly	ADJ	N6+
*-year	ADJ	T1.3 T3
*-year-old	ADJ	T3
*-year-old	NOUN	T3
*-year-olds	NOUN	T3
*KBps	NOUN	N3.8/Y2 N3.8/Q1.3
*MB	NOUN	N3.2/Y2
*MW	NOUN	N3/O3
*acre	NOUN	N3.6
*cms	NOUN	N3.7
*ha	NOUN	N3.6
*hectare	NOUN	N3.6
*kph	NOUN	N3.8
+	ADP	Z5
-Reuter	PROPN	Z3c Z1mf
-based	ADJ	M6 A2.2
-listed	ADJ	I2.1
-synth	NOUN	K3
-type	NOUN	A4.1
1-Click	PROPN	Z3c
1-year	ADJ	T1.3 T3
1/2	NUM	N1 N5
1/4	NUM	N1
10	NOUN	N1
10-15%	NUM	N5
10-year	ADJ	T1.3 T3
10.00ish	X	T3 T1.2
100%	NOUN	N5.1+
100-odd	NUM	N1
100K	NOUN	I1
100e	PROPN	Z3
106	NUM	Z3fn
10K	NOUN	I1
10p	NOUN	I1
11+	X	P1
110K	NOUN	I1
12+	X	P1
12-dimensional	ADJ	O4.1 A4.2+
12-hour	ADJ	T1.3
12-month	ADJ	T1.3 T3
12-storey	ADJ	H1/N3.7
