lemma	pos	semantic_tags
a	code	K2
a	abbrev	N3.6/N3.1
A	abbrev	O3/N3.1
A	pnoun	Z1
AA	pnoun	Z3/S5+
Aada	pnoun	Z1f
Aakenustunturi	pnoun	Z2
aakkonen	noun	Q3
aakkos	CompPart	Q3
aakkosellinen	adj	Q3/A4.1
aakkosjärjestys	noun	Q3/A4.1
aakkostaa	verb	Q3/A4.1
aakkostaminen	noun	Q3/A4.1
aakkostus	noun	Q3/A4.1
aallokko	noun	W3
aallonkare	noun	W3
aallonmurtaja	noun	O2/M4
aalto	noun	W3/M4 A6.2+ O4.4
Aalto	pnoun	Z1
Aaltonen	pnoun	Z1
Aalto-Yliopisto	pnoun	Z3/P1
aamen	intj	Z4
aamiainen	noun	F1
aamiais	CompPart	F1
aamiaisaika	noun	T1.3/F1
aamiaisbrunssi	noun	F1
aamiaismuro	noun	F1
aamiaissämpylä	noun	F1
aamiaisvoileipä	noun	F1
aamu	noun	T1.3 T2+
Aamu	pnoun	Z1f
aamuhämärä	noun	T1.2 W2-
aamuinen	adj	T1.3
aamuisin	adv	T1.3
aamukahvi	noun	F2
Aamulehti	pnoun	Z3/Q4.2
aamunkoite	noun	T1.2 T2+
aamunkoitto	noun	T1.2 T2+
aamunsarastus	noun	T1.2 T2+
aamupala	noun	F1
Aamuposti	pnoun	Z3/Q4.2
aamupäivisin	adv	T1.3
aamupäivä	noun	T1.3
aamupäiväateria	noun	F1
aamurusko	noun	W2
aamuryyppy	noun	F2
aamusta_iltaan	adv	T1.3+
aamutakki	noun	B5
aamutossu	noun	B5
aamutähti	noun	W1
aamuvarhainen	noun	T1.3
aamuvarhainen	adj	T4+
aamuyö	noun	T1.3
aapasuo	noun	W3
Aapeli	pnoun	Z1m
aapinen	noun	Q4.1/P1
Aapo	pnoun	Z1m
Aappo	pnoun	Z1m
aari	noun	N3.6/N3.1
aaria	noun	K2
Aarikka	pnoun	Z3/C1 Z1
Aarne	pnoun	Z1m
aarnikotka	noun	L2
aarniometsä	noun	W3
Aarno	pnoun	Z1m
Aaro	pnoun	Z1m
Aaron	pnoun	Z1m
aaroninparta	noun	L3
aarre	noun	O2/C1/I1.3+++ A11.1+ A5.1+++/S2
Aarre	pnoun	Z1m
aarrekammio	noun	H2/C1/I1.3+++
Aarto	pnoun	Z1m
aasi	noun	L2 X9.1-/S2
Aasia	pnoun	Z2
aasialainen	adj	Z2
aasialainen	noun	Z2/S2
aasialais	CompPart	Z2
aasimainen	adj	X9.1-
aasimaisesti	adv	X9.1-
aasimaisuus	noun	X9.1-
Aatami	pnoun	Z1m
aate	noun	X4.1
aateli	noun	S7.1+/S5+ A5.1+++/S5+
aatelis	CompPart	S7.1+
aatelisherra	noun	S7.1+/S2.2m
aatelismies	noun	S7.1+/S2.2m
aatelisnainen	noun	S7.1+/S2.1f
aatelisneiti	noun	S7.1+/S2.1f
aatelisrouva	noun	S7.1+/S2.1f
aatelisto	noun	S7.1+/S5+
aatemaailma	noun	X4.1
aaterakennelma	noun	X4.1
Aatos	pnoun	Z1m
aatteellinen	adj	X4.1
aatteellisesti	adv	X4.1
aatteellisuus	noun	X4.1
aatto	noun	T1.3
Aatto	pnoun	Z1m
aattopäivä	noun	T1.3
Aatu	pnoun	Z1m
Aava	pnoun	Z1f
Aavasaksa	pnoun	Z2
aavemainen	adj	E5-
aavemaisesti	adv	E5-
aavemaisuus	noun	E5-
aavikko	noun	W3
aavikkohaukka	noun	L2
aavikkojuoksija	noun	L2
aavistaa	verb	X2.6+
aavistamaton	adj	X2.6-
aavistaminen	noun	X2.6+
aavistella	verb	X2.6+
aavistelu	noun	X2.6+
aavistuksen_verran	adv	N5-
aavistus	noun	X2.6+ N5-
Ab	abbrev	I2.1/S5+
ab	abbrev	I2.1/S5+
ABB	pnoun	Z3
Abba	pnoun	Z3/K2 Z3
Abbas	pnoun	Z1
abbedissa	noun	S9/S2.1f
Abbot	pnoun	Z1
Abbotsford	pnoun	Z2
Abbott	pnoun	Z1
Abdallah	pnoun	Z1
Abdul	pnoun	Z1
Abdullah	pnoun	Z1m
Aberdeen	pnoun	Z2
abessiivi	noun	Q3
Abessinia	pnoun	Z2
abessinialainen	adj	Z2
abessinialainen	noun	Z2/S2
abessinialais	CompPart	Z2
Abetoni	pnoun	Z3
Abhejärvi	pnoun	Z2
Abidjan	pnoun	Z2
Abigail	pnoun	Z1f
abiturientti	noun	P1/S2
ablatiivi	noun	Q3
abnormi	adj	A6.2-
abnormius	noun	A6.2-
aboriginaali	noun	M7/S2
abortti	noun	B3
Abraham	pnoun	Z1m
Abreu	pnoun	Z1
absessi	noun	B2-
absintti	noun	F2
absoluuttinen	adj	N5.1+
absoluuttisesti	adv	N5.1+
absoluuttisuus	noun	N5.1+
abstrakti	adj	A1.6
abstrakti	noun	Q4.1
abstraktio	noun	A1.6
abstraktisuus	noun	A1.6
absurdi	adj	S1.2.6-
absurdisti	adv	S1.2.6-
absurdius	noun	S1.2.6-
Abu	pnoun	Z1m Z3
Accenture	pnoun	Z3
Accord	pnoun	Z3
Accra	pnoun	Z2
Achilles	pnoun	Z1m
Ackerley	pnoun	Z1
Acrobat	pnoun	Z3/Y2
Ada	pnoun	Z1f
adagio	noun	K2
Adam	pnoun	Z1m
Adamstown	pnoun	Z2
adaptaatio	noun	A2.1+
adapteri 	noun	O3
adaptio	noun	A2.1+
adaptoida 	noun	A2.1+
adaptoiminen 	noun	A2.1+
adaptoitua 	noun	A2.1+
addikti	noun	F3/S2 X5.2+++/S2
