lemma	pos	semantic_tags
a	Code	K2
a	Abbrev	N3.6/N3.1
A	Abbrev	O3/N3.1
A	Proper	Z1
AA	Proper	Z3/S5+
Aada	Proper	Z1f
Aakenustunturi	Proper	Z2
aakkonen	Noun	Q3
aakkos	CompPart	Q3
aakkosellinen	Adjective	Q3/A4.1
aakkosjärjestys	Noun	Q3/A4.1
aakkostaa	Verb	Q3/A4.1
aakkostaminen	Noun	Q3/A4.1
aakkostus	Noun	Q3/A4.1
aallokko	Noun	W3
aallonkare	Noun	W3
aallonmurtaja	Noun	O2/M4
aalto	Noun	W3/M4 A6.2+ O4.4
Aalto	Proper	Z1
Aaltonen	Proper	Z1
Aalto-Yliopisto	Proper	Z3/P1
aamen	Interjection	Z4
aamiainen	Noun	F1
aamiais	CompPart	F1
aamiaisaika	Noun	T1.3/F1
aamiaisbrunssi	Noun	F1
aamiaismuro	Noun	F1
aamiaissämpylä	Noun	F1
aamiaisvoileipä	Noun	F1
aamu	Noun	T1.3 T2+
Aamu	Proper	Z1f
aamuhämärä	Noun	T1.2 W2-
aamuinen	Adjective	T1.3
aamuisin	Adverb	T1.3
aamukahvi	Noun	F2
Aamulehti	Proper	Z3/Q4.2
aamunkoite	Noun	T1.2 T2+
aamunkoitto	Noun	T1.2 T2+
aamunsarastus	Noun	T1.2 T2+
aamupala	Noun	F1
Aamuposti	Proper	Z3/Q4.2
aamupäivisin	Adverb	T1.3
aamupäivä	Noun	T1.3
aamupäiväateria	Noun	F1
aamurusko	Noun	W2
aamuryyppy	Noun	F2
aamusta_iltaan	Adverb	T1.3+
aamutakki	Noun	B5
aamutossu	Noun	B5
aamutähti	Noun	W1
aamuvarhainen	Noun	T1.3
aamuvarhainen	Adjective	T4+
aamuyö	Noun	T1.3
aapasuo	Noun	W3
Aapeli	Proper	Z1m
aapinen	Noun	Q4.1/P1
Aapo	Proper	Z1m
Aappo	Proper	Z1m
aari	Noun	N3.6/N3.1
aaria	Noun	K2
Aarikka	Proper	Z3/C1 Z1
Aarne	Proper	Z1m
aarnikotka	Noun	L2
aarniometsä	Noun	W3
Aarno	Proper	Z1m
Aaro	Proper	Z1m
Aaron	Proper	Z1m
aaroninparta	Noun	L3
aarre	Noun	O2/C1/I1.3+++ A11.1+ A5.1+++/S2
Aarre	Proper	Z1m
aarrekammio	Noun	H2/C1/I1.3+++
Aarto	Proper	Z1m
aasi	Noun	L2 X9.1-/S2
Aasia	Proper	Z2
aasialainen	Adjective	Z2
aasialainen	Noun	Z2/S2
aasialais	CompPart	Z2
aasimainen	Adjective	X9.1-
aasimaisesti	Adverb	X9.1-
aasimaisuus	Noun	X9.1-
Aatami	Proper	Z1m
aate	Noun	X4.1
aateli	Noun	S7.1+/S5+ A5.1+++/S5+
aatelis	CompPart	S7.1+
aatelisherra	Noun	S7.1+/S2.2m
aatelismies	Noun	S7.1+/S2.2m
aatelisnainen	Noun	S7.1+/S2.1f
aatelisneiti	Noun	S7.1+/S2.1f
aatelisrouva	Noun	S7.1+/S2.1f
aatelisto	Noun	S7.1+/S5+
aatemaailma	Noun	X4.1
aaterakennelma	Noun	X4.1
Aatos	Proper	Z1m
aatteellinen	Adjective	X4.1
aatteellisesti	Adverb	X4.1
aatteellisuus	Noun	X4.1
aatto	Noun	T1.3
Aatto	Proper	Z1m
aattopäivä	Noun	T1.3
Aatu	Proper	Z1m
Aava	Proper	Z1f
Aavasaksa	Proper	Z2
aavemainen	Adjective	E5-
aavemaisesti	Adverb	E5-
aavemaisuus	Noun	E5-
aavikko	Noun	W3
aavikkohaukka	Noun	L2
aavikkojuoksija	Noun	L2
aavistaa	Verb	X2.6+
aavistamaton	Adjective	X2.6-
aavistaminen	Noun	X2.6+
aavistella	Verb	X2.6+
aavistelu	Noun	X2.6+
aavistuksen_verran	Adverb	N5-
aavistus	Noun	X2.6+ N5-
Ab	Abbrev	I2.1/S5+
ab	Abbrev	I2.1/S5+
ABB	Proper	Z3
Abba	Proper	Z3/K2 Z3
Abbas	Proper	Z1
abbedissa	Noun	S9/S2.1f
Abbot	Proper	Z1
Abbotsford	Proper	Z2
Abbott	Proper	Z1
Abdallah	Proper	Z1
Abdul	Proper	Z1
Abdullah	Proper	Z1m
Aberdeen	Proper	Z2
abessiivi	Noun	Q3
Abessinia	Proper	Z2
abessinialainen	Adjective	Z2
abessinialainen	Noun	Z2/S2
abessinialais	CompPart	Z2
Abetoni	Proper	Z3
Abhejärvi	Proper	Z2
Abidjan	Proper	Z2
Abigail	Proper	Z1f
abiturientti	Noun	P1/S2
ablatiivi	Noun	Q3
abnormi	Adjective	A6.2-
abnormius	Noun	A6.2-
aboriginaali	Noun	M7/S2
abortti	Noun	B3
Abraham	Proper	Z1m
Abreu	Proper	Z1
absessi	Noun	B2-
absintti	Noun	F2
absoluuttinen	Adjective	N5.1+
absoluuttisesti	Adverb	N5.1+
absoluuttisuus	Noun	N5.1+
abstrakti	Adjective	A1.6
abstrakti	Noun	Q4.1
abstraktio	Noun	A1.6
abstraktisuus	Noun	A1.6
absurdi	Adjective	S1.2.6-
absurdisti	Adverb	S1.2.6-
absurdius	Noun	S1.2.6-
Abu	Proper	Z1m Z3
Accenture	Proper	Z3
Accord	Proper	Z3
Accra	Proper	Z2
Achilles	Proper	Z1m
Ackerley	Proper	Z1
Acrobat	Proper	Z3/Y2
Ada	Proper	Z1f
adagio	Noun	K2
Adam	Proper	Z1m
Adamstown	Proper	Z2
adaptaatio	Noun	A2.1+
adapteri 	Noun	O3
