lemma	pos	semantic_tags
à	prep	Z5
abri	noun	A10- H1/A10- H4/H1c
absence	noun	S1.1.3- A3-
absent	noun	S1.1.3- A3-
absolu	noun	A5.1+++ A1.7-
absolument	adv	A13.2 Z4
absurde	noun	S1.2.6-
accélération	noun	N3.8+/A2.1
accent	noun	Q3 A11.1+ A4.2+
acceptation	noun	A9+ X2.5+ S1.2.1+ S7.4+
accepter	verb	A9+ X2.5+ S1.2.1+ S7.4+
accès	noun	M1 A9+ A1.1.1
accessoire	noun	N5++ O2 B5 S8+/S2mf
accident	noun	A1.1.2 A1.4
accompagner	verb	S3.1 K2 T1.1.2
accompli	adj	X9.1+ X9.2+
accomplir	verb	X9.2+
accord	noun	A6.1+ Q2.2
accorder	verb	A9- Q2.2
accroissement	noun	N5+/A2.1
accroître	verb	N5+/A2.1
accusé	noun	G2.1/S2mf
accuser	verb	Q2.2 G2.1
achat	noun	I2.2
acheter	verb	I2.2
acide	noun	O1 K2 F3%
acier	noun	O1.1 O2 S1.2.5+ O4.3
acquérir	verb	A9+
acte	noun	A1.1.1 K4 A5.4- G2.1 P1% T1.1.2 A8
acteur	noun	K4/S2.2m A1.1.1/S2mf@
actif	noun	A1.1.1 X5.2+
action	noun	A1.1.1 G3
actionnaire	noun	I1.1/S2mf
activement	adv	X5.2+ A1.1.1
activité	noun	A1.1.1
adaptation	noun	A2.1+
adapter	verb	A2.1+
additionnel	adj	N5++
admettre	verb	Q2.2 B3 A1.8+ S7.4+/M1
administrateur	noun	S7.1+/S2mf
administratif	noun	S7.1+
administration	noun	S7.1+c A9-
admiration	noun	S7.2+ E2+
admirer	verb	S7.2+ E2+
adopter	verb	A9+ S4
adresse	noun	H4 Q2.2 Q1.2 A1.1.1
adresser	verb	Q1.2 Q2.2 A1.1.1
adulte	noun	T3+/S2 T3+/S2mf
aérien	adj	M5 Q1.3
aéroport	noun	M5/M7
affaiblir	verb	S7.1-/A2.1 I1.1-/A2.1 S1.2.5-/A2.1 O4.1/A2.1 A5.1-/A2.1
affecter	verb	A2.1+ A5.4-/A8
afficher	verb	A10+
africain	noun	Z2 Z2/S2mf
âge	noun	T3 T1.3 T3++
âgé	adj	T3+ Z4
agence	noun	I2.2/S5+c G1.1c
agent	noun	I2.1/S2mf G1.1/X2.2+/S2mf K4/S2mf
agir	verb	A1.1.1 T1.1.2 A8 K4
agressif	noun	E3-
agriculteur	noun	F4/S2mf
agriculture	noun	F4
ainsi	adv	Z5/A2.2
ajouter	verb	N5+/A2.1 N2 A1.8+
ajustement	noun	A2.1+
alarme	noun	E5- E6- Q1.1/A15- O2/T1
albanais	noun	Z2 Z2/S2mf
album	noun	K2 Q4.1
alcool	noun	F2 O1.2
algérien	noun	Z2 Z2/S2mf
aliment	noun	F1
alimentaire	adj	F1
allemand	noun	Z2/S2mf Z2/Q3
aller	noun	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
alliance	noun	S5+c
allouer	verb	A9-
allusion	noun	A10-/Q2.2 A10-/Q2.1
amant	noun	S3.2/S2mf E2+/S2mf
amateur	noun	I3.2- I3.2-/S2mf
ambassade	noun	G1.1/S7.1+/S5+ G1.1/H1
ambassadeur	noun	G1.1/S2mf S1.1.1/S2mf
ambiguïté	noun	Q3 A7-
ambition	noun	X7+
âme	noun	K2 S9 E1 S2mf
amélioration	noun	A5.1+/A2.1
améliorer	verb	A5.1+/A2.1
amende	noun	A5.1+ A4.2+ O4.5 O4.1 W4 N3.2- G2.1 G2.1/I1.3 Z4
amendement	noun	A2.1+
amener	verb	M2 A2.2
amer	adj	F2 X3.1 E3-
américain	noun	Z2 Z2/S2mf
ami	noun	S3.1/S2mf
amical	adj	K5.1 S1.2.1+ S7.3-/K5.2
amitié	noun	S3.1
amour	noun	E2+ S3.2 E2+/S2mf
amuser	verb	E4.1+
an	noun	T1.3 P1c
analyse	noun	X2.4 Y1
