lemma	pos	semantic_tags
adapun	IN	Z5
agar	CC	Z5
aku	PRP	S2/Z5
alaf	CD	N1
alhasil	CC	Z5
ampat	CD	N1
amung	CD	N1
Anda	PRP	S2/Z5
aneka	CD	N1
antero	CD	N1
apa	WH	Z5
apakah	WH	Z5
apakala	WH	Z5
apalagi	CC	Z5
atau	CC	Z5
awat	PRP	S2/Z5
bagaikan	IN	Z5
bagaimana	WH	Z5
bagi	IN	Z5
bahkan	CC	Z5
bahwa	CC	Z5
bahwasanya	CC	Z5
beberapa	CD	N1
belasan	CD	N1
beliau	PRP	S2/Z5
beliau-beliau	PRP	S2/Z5
berapa	WH	Z5
beratus-ratus	CD	N1
berbatu-batu	CD	N1
berdua	CD	N1
berempat	CD	N1
berempat-empat	CD	N1
berenam	CD	N1
bergumpal-gumpal	CD	N1
berhari-hari	CD	N1
beribu-ribu	CD	N1
berjam-jam	CD	N1
berjenis-jenis	CD	N1
berjenjang-jenjang	CD	N1
berjuta-juta	CD	N1
berkarung-karung	CD	N1
berkepal-kepal	CD	N1
berkian-kian	CD	N1
berkilo-kilo	CD	N1
berkodi-kodi	CD	N1
berkoper-koper	CD	N1
berkurun-kurun	CD	N1
berlikur-likur	CD	N1
berlima	CD	N1
berlusin	CD	N1
berlusin-lusin	CD	N1
berminggu-minggu	CD	N1
berpasang-pasang	CD	N1
berpeti-peti	CD	N1
berpikul-pikul	CD	N1
berpuluh-puluh	CD	N1
bertahun-tahun	CD	N1
bertahunan	CD	N1
bertiga	CD	N1
bertruk-truk	CD	N1
beruntai-untai	CD	N1
berwindu-windu	CD	N1
beta	PRP	S2/Z5
biar	CC	Z5
bila	CC	Z5
bilamana	CC	Z5
biliun	CD	N1
binokular	CD	N1
ceban	CD	N1
ceceng	CD	N1
cepek	CD	N1
daku	PRP	S2/Z5
dan	CC	Z5
dari	IN	Z5
daripada	IN	Z5
dayung-mayung	CD	N1
delapan	CD	N1
demi	IN	Z5
dengan	IN	Z5
desiliun	CD	N1
di	IN	Z5
dia	PRP	S2/Z5
dikau	PRP	S2/Z5
dua	CD	N1
dua-dua	CD	N1
dua-duanya	CD	N1
duodesimal	CD	N1
dwiminggu	CD	N1
dwimingguan	CD	N1
empat	CD	N1
empat-empat	CD	N1
enam	CD	N1
engkau	PRP	S2/Z5
esa	CD	N1
gocap	CD	N1
gopek	CD	N1
gotun	CD	N1
gue	PRP	S2/Z5
hubaya-hubaya	CC	Z5
ia	PRP	S2/Z5
ialah	CC	Z5
jeng	PRP	S2/Z5
ji	CD	N1
jicap	CD	N1
jicapgo	CD	N1
jika	CC	Z5
jikalau	CC	Z5
jutaan	CD	N1
kalau	CC	Z5
kalau-kalau	CC	Z5
kalaupun	CC	Z5
kalian	PRP	S2/Z5
kami	PRP	S2/Z5
kamu	PRP	S2/Z5
kang	PRP	S2/Z5
kapan	WH	Z5
karena	CC	Z5
kau	PRP	S2/Z5
ke	IN	Z5
kedua	CD	N1
kenapa	WH	Z5
kepada	IN	Z5
kesatu	CD	N1
keti	CD	N1
ketiga	CD	N1
ketiga-tiganya	CD	N1
ketiganya	CD	N1
kita	PRP	S2/Z5
kitorang	PRP	S2/Z5
koe	PRP	S2/Z5
kotah	CD	N1
kuadriliun	CD	N1
laksa	CD	N1
likuran	CD	N1
lima	CD	N1
lu	PRP	S2/Z5
maka	CC	Z5
makanya	CC	Z5
mana	WH	Z5
mana-mana	PR	S2
manakala	CC	Z5
manakan	WH	Z5
manira	PRP	S2/Z5
masing-masing	PRP	S2/Z5
mengapa	WH	Z5
mereka	PRP	S2/Z5
meski	CC	Z5
meskipun	CC	Z5
mika	PRP	S2/Z5
miliar	CD	N1
miliun	CD	N1
namun	CC	Z5
nan	CC	Z5
nang	CC	Z5
nawa	CD	N1
neka	CD	N1
nol	CD	N1
nonilium	CD	N1
nopek	CD	N1
oleh	CC	Z5
pada	IN	Z5
pakanira	PRP	S2/Z5
patang	CD	N1
peku	CD	N1
pelbagai	CD	N1
per	CD	N1
peratus	CD	N1
permil	CD	N1
perseratus	CD	N1
pertama	CD	N1
pertiga	CD	N1
rante	CD	N1
ratusan	CD	N1
reka	PRP	S2/Z5
renteng	CD	N1
sampean	PRP	S2/Z5
sana	PRP	S2/Z5
saptapesona	CD	N1
sarwa	CD	N1
satu	CD	N1
saya	PRP	S2/Z5
seantero	CD	N1
sebagai	IN	Z5
sebanyak	CD	N1
sebatang	CD	N1
sebegini	CD	N1
sebegitu	CD	N1
sebelanga	CD	N1
sebelas	CD	N1
seberapa	CD	N1
sebilang	CD	N1
sebilangan	CD	N1
secebir	CD	N1
secebis	CD	N1
seceng	CD	N1
sedangkan	CC	Z5
segala	CD	N1
segenap	CD	N1
sehabis	CC	Z5
sehasta	CD	N1
sehingga	CC	Z5
sejak	CC	Z5
sejuta	CD	N1
sekalipun	CC	Z5
sekelian	CD	N1
seketip	CD	N1
sekodi	CD	N1
sekomeng	CD	N1
sekotes	CD	N1
sekutuk	CD	N1
selangkas	CD	N1
selapan	CD	N1
selapik	CD	N1
selaur	CD	N1
selawe	CD	N1
selurah	CD	N1
seluruh	CD	N1
sembilan	CD	N1
semesta	CD	N1
semua	CD	N1
sepadi	CD	N1
sepaha	CD	N1
separuh	CD	N1
sepeku	CD	N1
seperatus	CD	N1
seperdua	CD	N1
seperempat	CD	N1
seperlima	CD	N1
seperseratus	CD	N1
sepertiga	CD	N1
seperut	CD	N1
sepeser	CD	N1
sepicis	CD	N1
sepincang	CD	N1
sepukal	CD	N1
sepuluh	CD	N1
serata	CD	N1
seratus	CD	N1
seraup	CD	N1
sereguk	CD	N1
serenteng	CD	N1
serepih	CD	N1
seribu	CD	N1
serimis	CD	N1
seruas	CD	N1
serupiah	CD	N1
sesibir	CD	N1
sesukat	CD	N1
setali	CD	N1
setapak	CD	N1
setelempap	CD	N1
setengah	CD	N1
setiap	CD	N1
setunggal	CD	N1
siapa	PRP	S2/Z5
sira	PRP	S2/Z5
situ	PRP	S2/Z5
sono	PRP	S2/Z5
suatu	CD	N1
sungguhpun	CC	Z5
supaya	CC	Z5
supaya jangan	CC	Z5
tatkala	CC	Z5
tegal itulah	CC	Z5
tentang	IN	Z5
teramung	CD	N1
terhadap	IN	Z5
tetapi	CC	Z5
tiga	CD	N1
tiga-tiganya	CD	N1
triliunan	CD	N1
tujuh	CD	N1
tunggal	CD	N1
unting	CD	N1
untuk	IN	Z5
usur	CD	N1
wahid	CD	N1
waima	CC	Z5
walakin	CC	Z5
walau	CC	Z5
walaupun	CC	Z5
yaitu	CC	Z5
yakni	CC	Z5
yang	CC	Z5
