mwe_template	semantic_tags
Before_adj Christ_noun	T1.1.1 Z3c S9
Giovanni_pnoun Battista_noun	S9 S9/S2mf
Gran_adj Bretagna_pnoun	Z2
a_prep basso_adj tono_noun	A5.1- Q2.1 N3.7- N5- A11.1- E4.1- X3.2-
a_prep basso_adj volume_noun	A5.1- Q2.1 N3.7- N5- A11.1- E4.1- X3.2-
a_prep batteria_noun	A1.1.1/O3 O3
a_prep breve_adj durata_noun	T1.3-
a_prep brucia_verb pelo_noun	A5.2+ N3.3-
a_prep buon_adj mercato_noun	A5.1- N3.7- N5- A11.1- G2.2- S7.1-
a_prep buon_adj mercato_noun	I1.3- O4.2-
a_prep buon_adj prezzo_noun	A5.1- N3.7- N5- A11.1- G2.2- S7.1-
a_prep capo_noun scoperto_verb	O4.2
a_prep cappella_noun	H1 K2
a_prep casa_noun	H4 M6 H4/H1c M1/M6
a_prep causa_noun di_prep	Z5
a_prep causa_noun di_prep ciò_pron	Z5
a_prep cavalcioni_adv	M8 M6
a_prep cielo_noun aperto_verb	A10+ M6 O2
a_prep confronto_noun	M6 Z5
a_prep coppia_noun	A6.1+/S2mf N5+ N5+/A2.1
a_prep corto_adj	E6- A12-
a_prep dir_verb poco_adv	A13.5 A13.6 A13.2
a_prep dire_verb il_art vero_noun	A5.4+ A14
a_prep distanza_noun	N3.3+ A1.8- S1.1.3- S1.2.1- X5.1-
a_prep distanza_noun di_prep tempo_noun	A13.3 N3.3+ X9.2+
a_prep dorso_noun nudo_adj	B5- O4.1
a_prep eccezione_noun	Z5
a_prep effetto_noun immediato_adj	A1.1.1 X5.2+
a_prep episodi_noun	N4 Q4
a_prep est_noun	M6
a_prep farfalla_noun	L2mfn M4
a_prep fatica_noun	O4.1 X8+ X5.2- A12- S1.2.5+
a_prep favore_noun di_prep	A5 G2.2+
a_prep ferro_noun di_prep cavallo_noun	O4.4 K5.1
a_prep fianco_noun	M6 S5+ Z5
a_prep fondo_noun	A13.3 N3.3+ X9.2+ M6 H4/H1c M1/M6
a_prep fondo_noun	K5.1 N5.2+ A13.2 M6
a_prep forma_noun di_prep ciambella_noun	F1 O4.4
a_prep forma_noun di_prep penna_noun	O4.1
a_prep forma_noun di_prep stella_noun	W1
a_prep galla_noun	M7 M4
a_prep gambe_noun divaricate_verb	M8 M6
a_prep gambe_noun nude_adj	A10+/B1 O4.1
a_prep gonfie_adj vele_noun	N5+ A11.1+ S1.2.5+ X5.2+
a_prep gran_adj velocità_noun	N3.8+
a_prep grandi_adj linee_noun	Q1.2 M2 Q1.2/I1
a_prep imitazione_noun	N4 Z5
a_prep lei_pron	Z8f
a_prep levante_noun	M6
a_prep livello_noun internazionale_adj	M7
a_prep lungo_adj	A13.3 N6+ N5+ I1.3+
a_prep malapena_noun	A13.7
a_prep malincuore_adv	S1.1.1
a_prep mani_noun nude_adj	G3- A10+/B1 O4.1
a_prep mani_noun vuote_adj	X9.2-
a_prep mare_noun	M6
a_prep meno_adv di_prep	A6.1- A13.7
a_prep mente_noun lucida_adj	S1.1 O4.2
a_prep metà_noun	M6 N5 T1.2
a_prep metà_noun strada_noun	M6 A13.5 N5 T1.2
a_prep mezza_adj luna_noun	O4.4 S9 M3/H3
a_prep mezza_adj strada_noun	M6 A13.5
a_prep mosaico_adj	C1
a_prep ogni_adj modo_noun	Z4
a_prep ognuno_pron	S1.1.2+
a_prep opera_noun di_prep	Z5
a_prep orario_noun ridotto_verb	T1.3
a_prep oriente_noun	M6
a_prep orologeria_noun	T1 T1.2 T1.3 T1.1.2 N6 K2 G2.1@ N3.1/T1
a_prep pallini_noun	O4.3 X3.4
a_prep paragone_noun	M6 Z5
a_prep parte_noun ciò_pron	A6.1-
a_prep pelo_noun	B5-/L2
a_prep percussioni_noun	K2 A1.1.1
a_prep perpendicolo_noun	O4.1 E5+
a_prep pezzi_noun	A6.1- N6-
a_prep picco_noun	O4.1 E5+
a_prep piedi_noun nudi_adj	A10+/B1 O4.1
a_prep piombo_noun	M6 O4.2
a_prep più_adv piani_adj	H1/N3.7
a_prep portata_noun di_prep mano_noun	A12+ S8+
a_prep posto_noun	M6 Z5
a_prep precipizio_noun	M6 N3.8+
a_prep prezzo_noun ridotto_verb	I1.3
a_prep prua_noun	A11.1+ M6 S7.1+ Z4
a_prep puntate_noun	N4 Q4
a_prep puntini_noun	O4.3 X3.4
a_prep quadretti_noun	O4.3/B5
a_prep quanto_adv	Z5 A13.3
