lemma	pos	semantic_tags
A	abr	Z5
A	noun	Z5
A	verb	Z5
A.	null	Z5
A.	pnoun	Z5
A/R	verb	M1
A1	noun	M3
A14	noun	M3
A15	noun	M3
A16	noun	M3
AA	adj	Z9
AA	noun	Z9
AGRITURISO	noun	F4
AIDS	noun	B2-
AL	noun	Z5
ALBEROBELLO	noun	Z2
ALCUNA	noun	N5
ALESSANDRA	noun	Z1
ALIMINI	noun	Z2
ANGIOINO	noun	Z1
ANTICHI	noun	T3+++
ANTONIO	noun	Z1
ARAGONESE	noun	Z1
ARMANI	noun	Z1
ASSOLUTAMENTE	verb	A13.3
AURELIA	noun	Z1
Abacuc	noun	Z1
Abazziaa	noun	S9
Abbiniamo	noun	A2.2
Abruzzo	pnoun	Z2
Acaja	noun	Z2
Acaya	noun	Z2
Accadì	abr	Z3
Acquario	noun	S9/S2mf
Acquario	pnoun	S9
Acquaviva	noun	Z2
Ad	noun	Z5
Adamo	noun	Z1
Adeguatamente	noun	A1.2+
Adesso	noun	T1.1.2
Adriano	pnoun	Z1
Adriatica	noun	Z2
Adriatico	noun	Z2
Adrirrenica	adj	Z2
Advisor	noun	Z3
Africa	pnoun	Z2
Age	noun	T3
Agnelloagli	noun	F1
Agnese	noun	Z1
Agnolo	noun	Z1
Agostini	noun	Z1
Agostiniano	noun	Z1
Agricola	noun	F4
Ah	noun	Z4
Aiesistem	noun	Z3
Air	pnoun	Z3
Al	noun	Z5
Al	verb	Z5
Alamanni	noun	Z1
Albania	pnoun	Z2
Albano	noun	Z2
Alberello	noun	L3
Albergaccio	noun	H4
Alberobello	noun	Z2
Alberti	noun	Z1
Alberto	pnoun	Z1
Albizi	noun	Z1
Albola	noun	Z1
Albornoz	noun	Z1
Aldo	pnoun	Z1
Aldo-Micu	noun	Z1
Aldobrandini	noun	Z1
Ale	noun	Z1
Ale	verb	Z1
Aleppo	noun	Z1
Alessandra	noun	Z1
Alessandria	pnoun	Z2
Alessandro	pnoun	Z1
Alessano	noun	Z2
Alessia	noun	Z1
Alessio	noun	Z1
Alessio80	noun	Z1
Alfa	verb	Z1
Alfiano	noun	Z1
Alfonsino	noun	Z1
Alfonso	pnoun	Z1
Alfredo	pnoun	Z1
Alhambra	noun	Z2
Aligheri	noun	Z1
Alimini	noun	Z2
Alinari	noun	Z1
Alitalia	pnoun	Z1
All	noun	Z5
All'	noun	Z5
Alla	noun	Z5
Alle	abr	Z5
Alle	noun	Z5
Alliste	noun	Z2
Allucinante	noun	E5
All’Ombra	noun	O4.3
All’arrivo	noun	M1
All’entrata	verb	M7
All’epoca	verb	T1.3
All’estremità	noun	M7
All’improvviso	noun	N3.8+
All’ingresso	noun	M7
All’inizio	noun	T2+
All’interno	noun	M6
All’interno	verb	M6
All’ora	noun	N3.8
All’ultimo	adj	N4
All’una	verb	T1.3
All’uscita	noun	M7
All’uscita	verb	M7
Alpitour	noun	Z1
Altamura	noun	Z2
Alti	noun	N3.7+
Alto	noun	N3.7+
Altoviti	noun	Z1
Altra	noun	N5
Alvino	noun	Z1
Amalfitana	noun	Z2
Amara	noun	X3.1
Amazzonia	noun	S2.1f
Amazzonia	pnoun	Z2 M7
Ambrogio	pnoun	Z1
America	pnoun	Z2
Amerigo	noun	Z1
Amiata	noun	Z1
Amicis	noun	Z1
Ammanati	noun	Z1
Ammannati	noun	Z1
Amy	noun	Z1
Anch'essa	verb	Z5
Anch'io	verb	Z5
Anchise	noun	Z1
Anch’essa	verb	Z5
Anch’io	verb	Z5
Andiamo	noun	M1
Andrano	noun	Z2
Andrea	pnoun	Z1
Andria	noun	Z2
Andrè	noun	Z1
André	pnoun	Z1
Anfitrite	noun	Z1
Angela	verb	Z1
Angeli	verb	S9mf
Angelico	noun	Z1
Angelo	pnoun	Z1
Anghiari	noun	Z1
Angioini	noun	Z1
Angiò	noun	Z1
Anna	pnoun	Z1
Annamaria	noun	Z1
Annibale	noun	Z1
Anno	verb	T1.3
Annunziata	abr	Z1
Antella	noun	Z1
Antica	noun	T3+++
Antico	noun	T3+++
Antinori	noun	Z2
Antinoè	noun	Z1
Antonacci	noun	Z1
Antonella	noun	Z1
Antonietta	noun	Z1
Antonino	noun	Z1
Antonio	pnoun	Z1
Anzi	noun	Z5
Aosta	pnoun	Z2
Apartment	noun	H4
Apericena	noun	F1
Aperti	noun	A10+
Appena	noun	A13.7
Appennini	noun	Z2
Appia	noun	Z2
Approfittando	noun	A1.5.1
Apricena	noun	Z2
Apuane	noun	Z2
Aquacheta	noun	Z1
Aquarica	noun	Z2
Aragona	pnoun	Z1
Aragonese	noun	Z1
Arangèa	noun	Z2
Arbore	noun	Z1
Arboreto	noun	Z1
Arcangelo	abr	Z1
Arcangelo	noun	Z1
Architiello	noun	Z2
Arciere	noun	K5.1/S2mf
Arcivescovile	noun	S9
Arco	noun	Z2
Arcuri	noun	Z1
Ardimanni	noun	Z1
Area	noun	M7
Aretino	noun	Z2
Arezzo	noun	Z2
Arfoli	noun	Z2
Argentina	pnoun	Z2 Z3c
Arianna	pnoun	Z1
Ariento	noun	Z2
Ariete	pnoun	S9 S9/S2mf
Armani	noun	Z1
Arnaccio	noun	Z2
Arno	pnoun	W3
Arnolfo	noun	Z1
Arnolfo	verb	Z1
Arringatore	noun	C1
Arrivati	noun	M1
Arrivederci	verb	Z4
Arriviamo	noun	M1
Arte/Genio/Follia	noun	C1
Ascalone	noun	Z1
