token	lemma	semantic_tags
A.E.	A.E.	Z1mf
AIDS	AIDS	B2-
AIDS	AIDS	S8+
ASEAN	ASEAN	Z3
Aaron	Aaron	Z1m
Abel	Abel	Z1m
Aberdeen	Aberdeen	Z2
Abraham	Abraham	Z1m
Abyssinia	Abyssinia	Z2
Acapulco	Acapulco	Z2
Accra	Accra	Z2
Adam	Adam	Z1m
Adelaide	Adelaide	Z2 Z1f
Aden	Aden	Z2
Adrian	Adrian	Z1m
Aesop	Aesop	Z1 Q4.1
Afghanistan	Afghanistan	Z2
Afghanistan	Afghanistan	Z2/S2mf
Afrika	Afrika	Z2
Afrika	Afrika	Z2/S2mf
Afrikaner	Afrikaner	Z2/S2mf
Afro-Amerika	Afro-Amerika	Z2/S2mf
Ahab	Ahab	Z1m
Ahd	Ahd	T1.3
Aids	Aids	B2-
Aids	Aids	S8+
Akuarius	Akuarius	S9
Al-Iraq	Al-Iraq	Z2 Z3c
Al-Magrib	Al-Magrib	Z2
Aladdin	Aladdin	Z3 Z1m
Alan	Alan	Z1m
Alaska	Alaska	Z2
Albania	Albania	Z2
Albania	Albania	Z2/S2mf
Albany	Albany	Z1m Z2
Albert	Albert	Z1m
Alexander	Alexander	Z1m
Alexandria	Alexandria	Z1f Z2
Alfred	Alfred	Z1m
Algeria	Algeria	Z2
Algeria	Algeria	Z2/S2mf
Algerie	Algerie	Z2
Algiers	Algiers	Z2
Aljazair	Aljazair	Z2
Allah	Allah	S9mfn
Allah	Allah	Z1 Z1/S9
Allen	Allen	Z1mf
Alsace	Alsace	Z2 F2@
Alsatia	Alsatia	Z2 F2@
Amazon	Amazon	S1.2.5+/S2.1f
Amazon	Amazon	Z2 M7
Ambrose	Ambrose	Z1m
America	America	Z2
Amerika	Amerika	Z2
Amerika	Amerika	Z2/S2mf
Amos	Amos	Z1m
Amsterdam	Amsterdam	Z2
Amundsen	Amundsen	Z1
Andalucia	Andalucia	Z2
Andalusia	Andalusia	Z2
Andersen	Andersen	Z1
Anderson	Anderson	Z1mf
Andorra	Andorra	Z2 Z3c
Andorra	Andorra	Z2/S2mf
Andrew	Andrew	Z1m
Anglesey	Anglesey	Z2
Anglikanisme	Anglikanisme	S9
Angola	Angola	Z2
Angola	Angola	Z2/S2mf
Angora	Angora	Z2
Anguilla	Anguilla	Z2
Ankara	Ankara	Z2
Annam	Annam	Z2
Anne	Anne	Z1f
Antakiya	Antakiya	Z2
Antakya	Antakya	Z2
Antarctic	Antarctic	M7
Antarctica	Antarctica	Z2
Antartik	Antartik	Z2
Antartika	Antartika	M7
Antartika	Antartika	Z2
Anthony	Anthony	Z1m
Anti-Al-Masih	Anti-Al-Masih	S9 Z1m/E2- G2.2-
Antichrist	Antichrist	S9 Z1m/E2- G2.2-
Antioch	Antioch	Z2
Antonius	Antonius	Z1m
Antony	Antony	Z1m
Antwerp	Antwerp	Z2
Antwerpen	Antwerpen	Z2
Anvers	Anvers	Z2
Aphrodite	Aphrodite	S9/Z1f
Apollo	Apollo	Z3m
Apr	Apr	T1.3
Apr.	Apr.	T1.3
April	April	T1.3
Aquinas	Aquinas	Z1m
Aquitaine	Aquitaine	
Aquitania	Aquitania	
Arabia	Arabia	Z2
Aragon	Aragon	Z1m Z2
Arcadia	Arcadia	Z3c
Arctic	Arctic	Z2
Ardennes	Ardennes	Z2
Argentina	Argentina	Z2 Z3c
Argentina	Argentina	Z2/S2mf
Argos	Argos	Z3c Z2
Aries	Aries	S9 S9/S2mf
Aristotle	Aristotle	Z1m
Arizona	Arizona	Z2 Z3c
Arlington	Arlington	Z2
Armageddon	Armageddon	A1.1.2
Armagnac	Armagnac	F2
Armenia	Armenia	Z2
Armstrong	Armstrong	Z1mf Z3c
Arnold	Arnold	Z1mf
Arthur	Arthur	Z1m
Artik	Artik	Z2
Artois	Artois	Z1mf Z3c
Asean	Asean	Z3
Ashton	Ashton	Z2 Z1mf
Asia	Asia	Z2
Asia	Asia	Z2/S2mf
Aspinwall	Aspinwall	Z2
Assam	Assam	Z3/F2
Assouan	Assouan	Z2
Assuan	Assuan	Z2
Astaire	Astaire	Z1mf
Astrakhan	Astrakhan	B5
Aswan	Aswan	Z2
Athens	Athens	Z2
Athinai	Athinai	Z2
Atilla	Atilla	Z1 Z3c
Atlanta	Atlanta	Z2
Atlantik	Atlantik	Z2
Attila	Attila	Z1 Z3c
Attlee	Attlee	Z1
Auckland	Auckland	Z2 Z3c
Augustine	Augustine	Z1m
Augustus	Augustus	Z1m
Austen	Austen	Z1mf
Austin	Austin	Z1mf Z3c
Australasia	Australasia	Z2
Australia	Australia	Z2
Australia	Australia	Z2/S2mf
Austria	Austria	Z2 Z1
Austria	Austria	Z2/S2mf
Austria-Hungary	Austria-Hungary	Z2
Austria–Hungary	Austria–Hungary	Z2
Auvergne	Auvergne	Z2
Ayr	Ayr	Z2
Azerbaijan	Azerbaijan	Z2
