lemma	semantic_tags
A.E.	Z1mf
AIDS	B2-
AIDS	S8+
ASEAN	Z3
Aaron	Z1m
Abel	Z1m
Aberdeen	Z2
Abraham	Z1m
Abyssinia	Z2
Acapulco	Z2
Accra	Z2
Adam	Z1m
Adelaide	Z2 Z1f
Aden	Z2
Adrian	Z1m
Aesop	Z1 Q4.1
Afghanistan	Z2
Afghanistan	Z2/S2mf
Afrika	Z2
Afrika	Z2/S2mf
Afrikaner	Z2/S2mf
Afro-Amerika	Z2/S2mf
Ahab	Z1m
Ahd	T1.3
Aids	B2-
Aids	S8+
Akuarius	S9
Al-Iraq	Z2 Z3c
Al-Magrib	Z2
Aladdin	Z3 Z1m
Alan	Z1m
Alaska	Z2
Albania	Z2
Albania	Z2/S2mf
Albany	Z1m Z2
Albert	Z1m
Alexander	Z1m
Alexandria	Z1f Z2
Alfred	Z1m
Algeria	Z2
Algeria	Z2/S2mf
Algerie	Z2
Algiers	Z2
Aljazair	Z2
Allah	S9mfn
Allah	Z1 Z1/S9
Allen	Z1mf
Alsace	Z2 F2@
Alsatia	Z2 F2@
Amazon	S1.2.5+/S2.1f
Amazon	Z2 M7
Ambrose	Z1m
America	Z2
Amerika	Z2
Amerika	Z2/S2mf
Amos	Z1m
Amsterdam	Z2
Amundsen	Z1
Andalucia	Z2
Andalusia	Z2
Andersen	Z1
Anderson	Z1mf
Andorra	Z2 Z3c
Andorra	Z2/S2mf
Andrew	Z1m
Anglesey	Z2
Anglikanisme	S9
Angola	Z2
Angola	Z2/S2mf
Angora	Z2
Anguilla	Z2
Ankara	Z2
Annam	Z2
Anne	Z1f
Antakiya	Z2
Antakya	Z2
Antarctic	M7
Antarctica	Z2
Antartik	Z2
Antartika	M7
Antartika	Z2
Anthony	Z1m
Anti-Al-Masih	S9 Z1m/E2- G2.2-
Antichrist	S9 Z1m/E2- G2.2-
Antioch	Z2
Antonius	Z1m
Antony	Z1m
Antwerp	Z2
Antwerpen	Z2
Anvers	Z2
Aphrodite	S9/Z1f
Apollo	Z3m
Apr	T1.3
Apr.	T1.3
April	T1.3
Aquinas	Z1m
Aquitaine	
Aquitania	
Arabia	Z2
Aragon	Z1m Z2
Arcadia	Z3c
Arctic	Z2
Ardennes	Z2
Argentina	Z2 Z3c
Argentina	Z2/S2mf
Argos	Z3c Z2
Aries	S9 S9/S2mf
Aristotle	Z1m
Arizona	Z2 Z3c
Arlington	Z2
Armageddon	A1.1.2
Armagnac	F2
Armenia	Z2
Armstrong	Z1mf Z3c
Arnold	Z1mf
Arthur	Z1m
Artik	Z2
Artois	Z1mf Z3c
Asean	Z3
Ashton	Z2 Z1mf
Asia	Z2
Asia	Z2/S2mf
Aspinwall	Z2
Assam	Z3/F2
Assouan	Z2
Assuan	Z2
Astaire	Z1mf
Astrakhan	B5
Aswan	Z2
Athens	Z2
Athinai	Z2
Atilla	Z1 Z3c
Atlanta	Z2
Atlantik	Z2
Attila	Z1 Z3c
Attlee	Z1
Auckland	Z2 Z3c
Augustine	Z1m
Augustus	Z1m
Austen	Z1mf
Austin	Z1mf Z3c
Australasia	Z2
Australia	Z2
Australia	Z2/S2mf
Austria	Z2 Z1
Austria	Z2/S2mf
Austria-Hungary	Z2
Austria–Hungary	Z2
Auvergne	Z2
Ayr	Z2
Azerbaijan	Z2
Azerbajdzhan	Z2
Azores	Z2
Aztek	T1.1.1/S2mf
BB	Z3c
Babylon	Z2 Z3
Babylon	Z2 Z3c
Bach	Z1mf
Badwi	Z2/S2mf
Bagdad	Z2
Baghdad	Z2
Bahamas	Z2
Bahamas	Z2/S2mf
Bahrain	Z2
Bahrein	Z2
Bailey	Z2 Z1mf
Baitulmuqaddis	Z2 Z3
Bakersfield	Z2
Bale	Z2
Balfour	Z1mf
Balkan	Z2
Balkan	Z2 Z2/S2mfnc
Balkans	Z2
Baltimore	Z2
Bangkok	Z2
Bangladesh	Z2
Bannister	Z1mf
Bantu	Z2/S2mf Z2/Q3
Barat	M6/S2mf
Barbados	Z2 Z3c
Barbados	Z2/S2mf
Barcelona	Z2 Z3c
Barnum	Z1m Z3
Barrie	Z1mf
Barrymore	Z1mf Z3c
Bartok	Z1mf
Basel	Z2
Basle	Z2
Basutoland	Z2
Bath	Z2 Z3c
Bavaria	Z2
Bayonne	F1 A4.1
Bayrut	Z2
Beantown	Z2
Beatrice	Z1f
Beaumont	Z1mf Z3 Z2
Beelzebub	S9m
Beethoven	Z1mf
Beijing	Z2 Z3c
Beirut	Z2
Belanda	Z2 Z2/Q3 Z2/S2mfnc
Belanda	Z2 Z3c
Belanda	Z2/S2mf
Belarus	Z1 Z2
Belfast	Z2
Belgique	Z2
Belgium	Z2
Belgium	Z2/S2mf
Belgrade	Z2
Belize	Z2
Bell	Z3c
Belorussia	Z1 Z2
Belorussia	Z2/S2.2mf
Benelux	M7
Benggala	Z2
Benggali	Z2/S2mf Z2/Q3
Benin	Z2
Benjamin	Z1mf
Bennett	Z1mf
Benton	Z2
Beograd	Z2
Berg	Z3
Berkeley	Z1mf Z2
Berlin	Z2 Z1mf Z3c
Bern	Z2
Bernard	Z1mf
Berne	Z2
Bernstein	Z1
Berry	Z1mf
Bethlehem	Z2
Bethlehem-Judah	Z2
Bharat	Z2
Bhutan	Z2
Bhutan	Z2/S2mf
Birmingham	Z2
Blackbeard	Z1mf
Blackpool	Z2
Blair	Z1
Blake	Z1mf
Bloomsbury	Z2
Bob	X2.6+ E4.1+ X9.2+ A5.1+
Bogart	Z1mf
Bogota	Z2
Bohemia	Z2
Bolingbroke	Z1mf
Bolivia	Z2 Z3c
Bolivia	Z2/S2mf
Bologna	Z2
Bolshevik	G1.2/S2mf
Bombay	Z2
Bonaparte	Z1m
Bond	Z1mf
Bordeaux	Z2 F2
Borneo	Z2
Bosch	Z3c
Bosnia	Z2
Bosnia	Z2 Z3c
Bosnia	Z2/S2mf
Bosnia-Herzegovina	Z2
Boston	Z2
Boswell	Z3 Z1
Botswana	Z2
Bowie	Z1mf
Bradford	Z2 Z1mf
Brahman	S5+
Brahmin	S5+
Brahms	Z1mf
Braille	Q1.2
Brasil	Z2
Brasilia	Z2
Bratislava	Z2
Braun	Z1mf Z3c
Braunschweig	Z1
Brazil	Z2
Brazil	Z2/S2mf
Brecht	Z1mf
Breiz	Z2
Brescia	Z2
Bretagne	Z2
Bride	Z1f
Bridget	Z1f
Bridgetown	Z2
Brighton	Z2
Brigid	Z1f
Brisbane	Z2
Bristol	Z2
Britain	Z2
Brittany	Z2
Britten	Z1mf
Broadway	Z2
Bronx	Z2
Brooke	Z1mf
Brown	Z1mf
Browne	Z1
Bruce	Z1mf
Bruges	Z2
Brummagem	Z2
Brunei	Z2
Bruno	Z1mf
Brunswick	Z1
Brussels	Z2
Bruxelles	Z2
Buchanan	Z1mf
Bucharest	Z2
Bucharesti	Z2
Bucuresti	Z2
Budapest	Z2
Buddha	Z1m S9
Buffalo	Z2
Bukarest	Z2
Bulgaria	Z2
Bulgaria	Z2/S2mf
Bumiputra	M6/S2mf
Bumiputra	M7/S2mf
Burk	Z1mf
Burke	Z1mf
Burlington	Z2 Z3c
Burma	Z2
Burma	Z2/S2mf
Burnham	Z2 Z1mf
Burnside	Z1mf Z2
Burroughs	Z1mf
Burt	Z1m
Burton	Z1mf Z3c Z2
Burundi	Z2
Bush	Z3c Z1mf
Butler	Z1mf Z3c
Byelarus	Z1 Z2
Byelorussia	Z1 Z2
C	Z5 K2 P1/A5.1 Y2 O4.6
Cad	Z2 Z1m
Caesar	Z1m/T1.1.1
Cairo	Z2
Calais	Z2
Calcutta	Z2
Calgary	Z2
Calif.	Z2
California	Z2
Caligula	Z1m
Callas	Z1mf
Calvados	Z2 F2
Cambodia	Z2
Cambria	Z2 Z1mf
Cambridge	Z2
Camden	Z2c
Camelot	Z2/S9
Cameroon	Z2
Cameroun	Z2
Campbell	Z1mf
Canaan	Z2
Canada	Z2
Cannes	Z2
Canterbury	Z2 Z1mf
Canton	Z2
Cardiff	Z2
Caribbean	Z2
Carlos	Z1mf
Carmichael	Z1mf
Carnegie	Z1mf Z3c
Carolina	Z2
Carolinas	Z2
Carolus	Z1m
Casablanca	Z2 Z3
Cashmere	Z2
Caspar	Z1m
Casper	Z1m
Cassandra	Z1f
Cassius	Z1m
Castro	Z1mf
Cathay	Z2
Catherine	Z1f
Caucasia	Z2
Caucasus	Z2
Cavendish	Z1mf
Caxton	Z1mf Z3c
Celt	Z2/S2mf
Chad	Z2 Z1m
Chamberlain	Z1mf
Chambers	Z3c Z1mf
Champaign	Z2
Chandler	Z1mf
Changan	Z1f
Chaplin	Z1mf
Charlemagne	Z1m
Charles	Z1m
Charleston	K1
Charlotte	Z1f
Chaucer	Z1m
Cheddar	Z2
Chennai	Z2 F1
Cherbourg	Z2
Chernobyl	Z2 Z3c
Chester	Z2 Z1mf
Chesterfield	Z2 Z3c Z1mf
Chicago	Z2 Z3c
Chico	Z1mf
Chile	Z2
China	Z2
Christ	Z1m Z1m/S9 Z4
Christchurch	Z2
Christiania	Z2
Christie	Z1mf
Christopher	Z1m
Churchill	Z1mf
Cile	Z2
Cina	Z2
Cinderella	Z1f Z3
Clark	Z1mf
Claudius	Z1m
Cleopatra	Z1f Z1f/T1.1.1
Cleveland	Z2 Z3c Z1mf
Clinton	Z1mf
Clive	Z1mf
Cnossos	Z2
Cnossus	Z2
Cohn	Z1
Coke	Z3
Collins	Z1mf
Cologne	Z2
Colombia	Z2
Colombo	Z1mf Z3
Colon	Z2
Colorado	Z2 Z3c
Columbia	Z2 Z3c
Columbus	Z1m Z2
Comoros	Z2
Concord	Z3fn Z2
Confederacy	Z2c
Confucius	Z1m
Connecticut	Z2
Connors	Z3c
Conrad	Z1mf
Constable	Z1mf
Constantinople	Z2
Cook	Z1mf
Cooke	Z1mf
Cooper	Z1mf
Copenhagen	Z2
Cordoba	Z2
