lemma	pos	semantic_tags
i	FW	N1
ii	FW	N1
xix	FW	N1
xx	FW	N1
xxi	FW	N1
а	INTJ	Z4
абаз	S	I1
аббревиатура	S	Q3 K2
аболиция	S	G2.1
абонемент	S	Q1.2/I2.2 Q4.1/H2
абонент	S	Q1.3/S2mf A1.5.1/S2mf
аборт	S	B1 B3
абрикос	S	F1/L3 L3
абрикосовый	A	L3/F1 O4.3
абрис	S	O4.4 A4.2-
абсент	S	F2
абсентеизм	S	G1.2/S1.1.3-
абсолютизм	S	G1.1
абсолютный	A	A1.7- A5.1+++
абстракция	S	X4.1 A1.6 C1
абсцесс	S	B2-
абсцисса	S	N2
абулия	S	B2-
абхазский	A	Z2
авалист	S	G2.1/I1/S2mf
аваль	S	G2.1/I1
авангард	S	M6 G3 T2+/S2mf C1 Z3c/K5.2
аванс	S	I1.1 I1.2 A9-
авантюра	S	G2.2- X8+/A1.4
авантюризм	S	X8+/A1.4
авантюрист	S	G2.2-/S2.2m X8+/A1.4/S2.2m
авантюристка	S	G2.2-/S2.1f X8+/A1.4/S2.1f
аварийный	A	A1.1.2 S8+/A1.1.2- N5.2+/A1.1.2
авария	S	A1.1.2 A5.1--- X9.2- I1.1+/G2.1
август	S	T1.3
авеню	S	M3/H3
аверс	S	I1 M6
авиазавод	S	I4/M5/H1
авиакатастрофа	S	A1.1.2/M5
авиакомпания	S	M5/S5+
авиастроение	S	I4/M5
авиационный	A	M5
авиация	S	M5
авизент	S	B5
авизо	S	Q1.2/I1 M4
авокадо	S	L3/F1
австрийский	A	Z2
авто	S	M3
автобан	S	M3 Z3c
автобус	S	M3fn
автогол	S	K5.2
автогонки	S	K5.1/M3
автогонщик	S	K5.1/M3/S2.2m
автогравюра	S	C1
автограф	S	Q1.2
автозавод	S	I4/M3/H1
автократия	S	G1.1 S7.1+
автокросс	S	K5.1/M3
автолитография	S	C1
автомагистраль	S	M3
автомат	S	O2 X5.2-/S2mf P1 G3 Q1.3
автоматизация	S	Y1/S5-
автоматика	S	Y1/S5- O2/S5-
автоматически	ADV	O2/S5- X2.1- X7-
автоматический	A	O2/S5- X2.1- X7-
автомашина	S	M3
автомобилестроение	S	I4/M3
автомобилист	S	K5.1/M3/S2.2m Z3c/K5.2
автомобиль	S	M3fn
автомобильный	A	M3
автономия	S	G1.1 S5-
автономный	A	G1.1 S5-
автопортрет	S	C1
автор	S	Q4.1/S2mf A1.1.1/S2mf
авторитаризм	S	G1.1/S7.1+++
авторитарность	S	S7.1+
авторитарный	A	G1.1/S7.1+++
авторитет	S	S7.2+ S7.2+/S2mf
авторитетность	S	S7.2+
