lemma	pos	semantic_tags
a	noun	Z5
a	prep	Z5
A.	noun	N4
A.	num	N4
a.	noun	N4
a.	num	N4
Aba	pnoun	Z2
Ababuj	pnoun	Z2
abadejo	noun	F1 L2
Abades	pnoun	Z2
Abadiño	pnoun	Z2
Abadía	pnoun	Z2
abadía	noun	S9 H1
Abadín	pnoun	Z2
Abajas	pnoun	Z2
abajo	adv	M6 Z5 N3.1
Abaltzisketa	pnoun	Z2
abandonado	adj	M1 T2- A9- E1%
Abanilla	pnoun	Z2
Abanto	pnoun	Z2
Abartzuza	pnoun	Z2
Abarán	pnoun	Z2
abastecer	verb	A9-
abastos	noun	O2/F1
Abaurregaina	pnoun	Z2
Abaurrepea	pnoun	Z2
abedul	noun	L3
Abegondo	pnoun	Z2
abeja	noun	L2mfn K1 S1.1.3+ S1.2.5+
Abejar	pnoun	Z2
abejorro	noun	L2mfn K1 S1.1.3+ S1.2.5+ X3.2+
Abejuela	pnoun	Z2
Abengibre	pnoun	Z2
Abenójar	pnoun	Z2
Aberin	pnoun	Z2
Abertura	pnoun	Z2
Abezames	pnoun	Z2
Abiego	pnoun	Z2
abiertamente	adv	A10+
abierto	adj	A10+
Abiyán	pnoun	Z2
Abizanda	pnoun	Z2
Abla	pnoun	Z2
ablandado	adj	O4.5
ablandador	noun	O2
ablandar	verb	A2.1
ablandarse	verb	A2.1
Ablanque	pnoun	Z2
Ablitas	pnoun	Z2
abogado	noun	G2.1 I3.2 S2mf
abordado	adj	Q1.2 Q2.2 A1.1.1
aborigen	adj	M7
abrazo	noun	S3.2 S8+ A1.8+ A9+ X2.1 S7.1+/A1.7+
Abrera	pnoun	Z2
abril	noun	T1.3
abrir	verb	A10+
Abrucena	pnoun	Z2
absolutamente	adv	A13.2
absoluto	adj	A5.1+++ A1.7-
absorber	verb	A9+ X2.3+
absorción	noun	A9+ X2.3+
abstenerse	verb	A1.3 A1.8- A9 S9
abstinencia	noun	A1.3 A1.8- A9 S9
abstracción	noun	A1.6 P1 X2 A9+
abstracto	adj	A1.6 C1 X2 Q4.1 A9+
absurdo	adj	S1.2.6-
abuelo	noun	S4fm
abundancia	noun	N5+ A9+
abundante	adj	N3.2
aburrimiento	noun	X5.2-
abusar	verb	E3- Q2.2 G2.2- A1.5.1 A5.1-
Abusejo	pnoun	Z2
abuso	noun	E3- Q2.2 G2.2- A1.5.1 A5.1-
Abuya	pnoun	Z2
Abáigar	pnoun	Z2
Abánades	pnoun	Z2
Abárzuza	pnoun	Z2
acabado	noun	X3.1
acabar	verb	A1.1.1 T2
acacia	noun	L3 B3
academia	noun	P1 H1 S5+c P1 X2.3
académicamente	adv	P1 S2 A1.6 Z5
académico	adj	P1 A1.6 P1 S2mf S5
acariciar	verb	X3.3/E2+ S3.2+
accesible	adj	S1.2.1+ A9+ A12+ M6
acceso	noun	M1 A9+ M7
accidental	adj	A1.4 A7+
accidentalmente	adv	A1.4 A7+
acciones	noun	I1 Q1 S1
acción	noun	A1.1.1 I2.1.2 Q1 S1.2 G3 K4
Acebedo	pnoun	Z2
Acebo	pnoun	Z2
Acedera	pnoun	Z2
Acehúche	pnoun	Z2
aceitar	verb	O1.2 A1.1.1 O1.2 F1
aceite	noun	O1.2 F1
aceitosa	adj	O4.1/F1
aceitoso	adj	X3.1 O4.5
Aceituna	pnoun	Z2
aceituna	noun	F1 L3
aceleración	noun	N3.8+/A2.1
acelerado	adj	N3.8+/A2.1
acelerar	verb	N3.8+/A2.1
aceptar	verb	A9+ X2.5+ S7.4+ S9@
acera	noun	M3 H3
acerca	conj	Z5 M6
Acered	pnoun	Z2
acero	noun	O1.1 O2 S1.2.5+ O4.3
Aceuchal	pnoun	Z2
acético	adj	O1.2/F1
achicoria	noun	F2 L3 F1
aciano	noun	L3 F1 B3
acidez	noun	X3.1 B2
acidificación	noun	X3.1
acidulante	noun	O1
aclarar	verb	A2.1
aclareo	verb	F4 A10+
acoger	verb	A9+ X2.5+ S2
acogida	noun	A9+ X2.5+ S2
acomodaticia	adj	A2.1+/I2
acompañado	adj	S3.1 K2 T1.1.2
acompañamiento	noun	S3.1 F1 A4.1
acompañar	verb	S3.1 A4.1
acondicionado	noun	A1.1.1
aconsejar	verb	Q2.2/S8+ Q2.1/X2.2+ A9- A1.1.1
acordado	adj	A6.1+ Q2.2
acordar	verb	A6.1+ Q2.2
acostumbrado	adj	A6.2+
acostumbrar	verb	A1.1.1
Acra	pnoun	Z2
acre	noun	N3.6 O4.1
acreditar	verb	A5.1+
acreedor	noun	I1.1/S2mf I1.1/S5+c
actitud	noun	A5 S1.1 X2.1 E1 P1
activamente	adv	A1.1.1 X5.2 Z5 P1
activar	verb	A1.1.1
actividad	noun	S1.1 I2.1 A1.1.1 K5.1
actividades	noun	S1.1 I1
activo	adj	A1.1.1 X5.2+ S3.2
activo	noun	I1.1 A1.5.2+
acto	noun	S1.1 T1.1 K4
actor	noun	K4 S2.2m A1.1.1 S2mf
actriz	noun	K4 S2.1f
actuación	noun	K2 K4 A1.1.1
actual	adj	T1.1.2
actualidad	noun	T1.1.2 A3+
actualización	noun	T1.1.2 A3+
actualizada	adj	T1.1.2
actualizado	adj	T1.1.2 A3+
actualizar	verb	T1.1.2
actualmente	adv	T1.1.2
actual|actualmente	adv	T1
actuar	verb	A1.1.1 T1.1.2 A8 K4
acuerdo	noun	Q1.2 G2.1 S7.1 X2.5 I2.1.2 G1
acumulación	noun	N5+ A9+
acumulado	verb	N5+ A9+
acumular	verb	N5+ A9+
acuoso	adj	O4.5 O4.1
acusado	adj	Q2.2 G2.1
acusar	verb	Q2.2 G2.1
acuñada	adj	A1.1.1/X7+
Adahuesca	pnoun	Z2
Adalia	pnoun	Z2
Adamuz	pnoun	Z2
Adana	pnoun	Z2
Adanero	pnoun	Z2
adaptación	noun	A2.1+ P1
adaptado	adj	A2.1
adaptar	verb	A2.1
adaptarse	verb	A1.1.1
adecuación	noun	A1.2
adecuado	adj	A1.2
Adeje	pnoun	Z2
Adelaida	pnoun	Z2
adelantado	adj	M3 N3.8++
adelantar	verb	M3 N3.8++
adelante	adv	Z5 N3.3
adelanto	noun	M3 N3.8++
adelgazante	adj	B3
adelgazar	verb	B2
Ademuz	pnoun	Z2
además	adv	Z5 N5
adenina	noun	O1
adentro	adv	M6 G2.1 S1.1.3+ Z5
adepto	noun	S1.1.3
aderezo	noun	F1
adeudo	noun	I1.2
adherente	adj	O4.5 A12-
adhesión	noun	A1.7+ S7.1-
adicional	adj	N5++
adicionalmente	adv	N5++
adición	noun	N5++ N2
adiestrar	verb	X7 X5 P1
Adiós	pnoun	Z2
adiós	noun	S1.1.1 Z4
adjetivo	noun	Q3 Z5
adjudicación	noun	A9- I1.3+/A9-
adjudicada	adj	A9- I1.3+/A9-
administración	noun	S7.1+c A9- P1 S5 S7 G1 I1
administrado	verb	S7.1+c A9- P1 S5 S7 G1 I1
administrador	noun	S7.1+c A9- P1 S5 S7 G1 I1
administrativo	adj	S7.1+ G1
admirable	adj	S7.2+ A5.1+
admiración	noun	S7.2+ E2+ A5.1+
admirador	noun	S7.2+ S2mf E2+ S2mf
