lemma	pos	semantic_tags
کے	AT	Z5
اور	IO	Z5
ایک	CC	Z5
کےاندر	AT1	Z5
کو	RP	M6
یہ	TO	Z5
ہے	PPH1	Z8
سے 	VBZ	A3+ Z5
تھا	TO	Z5
میں	VBDZ	A3+ Z5
کے- لئے	PPIS1	Z8mf
وہ	RP	M6
آپ	RG	A13.3 A6.1+
وہ	PPY	Z8mf
ساتھ	PPHS1	Z8m
پر	IW	Z5
کے-پاس	RP	M6 A1.1.1
پر	RP	M6
ہیں	II	Z5
نہیں	VBR	A3+ Z5
يے	XX	Z6
کا	RG	A13.3
لیکن	VHZ	A9+ A2.2 Z5
چکا-تھا	RR	A13.6
وہ	VHN	A9+ Z5 A2.2 S4
اسکا	PPHS2	Z8mfn
سے	PP$	Z8m
وہ	II	Z5
وہ	PPHS1	Z8f
جس	RG	A13.3 A6.1+
یا	DDQ	Z5 Z8
ہم	CC	Z5
کا	PPIS2	Z8
ایک	VHZ	A9+ A2.2 Z5
تھے	AT1	Z5
جيسا-کے	VBDR	A3+ Z5
کرنا	RG	A13
کیا گیا	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5
ان	VBN	A3+ Z5
ھوچکاھے	APPGE	Z8
گا	VHZ	A9+ Z5 A2.2 S4
وہاں	VM	A7+
کیا	RL	M6 T1.2
گے	DDQ	Z8 Z5
تمام	VV0	X7+
اگر	RR	A13.2
کر-سکتے	CSW	Z7
کہا	VV0	A1.1.1
جو	VVN	Q2.1
ایک	PNQS	Z8
پس	PN1	Z8
اوپر	RR	Z5 A13.3
 جیسا-کے	VV0	N5+/A2.1
ان	RG	A13
کچھ	PPHO2	Z8mfn
کب	RR	A13.5
سکتا	RRQ	Z5
اسے	VM	A7+
کیا-گیا	PPHO1	Z8m
اس	II	Z5
پھر	APPGE	Z8
دو	RT	N4 Z5 T1.2
باہر	MC	N1 T3 T1.2
وقت	VV0	S3.2
میرے	VV0	X7+/T1 N3.1/T1
کے-بارے-میں	APPGE	Z8
کیا	RP	Z5 M6
آپکا	VDD	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
اب	APPGE	Z8
مجھے	UH	Z4
نہیں	PPIO1	Z8mf
دیگر	UH	Z4
صرف	NN1	A6.1-/Z8
صرف	RR	A14
مزید	RR	A14 T3--- T1.3- N3.3---
ان	RRR	A13.3 N6++
بھی	DD2	Z5 Z8
لوگ	RR	N5++
جانتے-ہیں	VV0	S2
کوئی	VV0	X2.2+ S3.2/B1%
پہلے	RR	A13.3
دیکھیں	NN1	N4 P1@
بہت	VV0	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
نئی	RG	A13.3
شايد	JJ	T3-
اچھی-طرح	VM	A7+
چاہئے	VV0	A10+ E1+
کیطرح	VM	S6+ A7+
مقابلے	VV0	E2+
کسطرح	CSN	Z5
حاصل	RRQ	Z5 A13.3
طریقہ	VV0	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
ایک	RR	A13.3
ہمارے	PN1	Z8
بنایا	APPGE	Z8
ملا	VVN	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
کے-بعد	VVN	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
خیال	RR	N4
کے-درمیان	VV0	X2.1
بہتسے	RL	M6
سال	DA2	N5+
یر	NNT2	T1.3
ہے	UH	Z4
وہ	VH0	A9+ A2.2 Z5
جانا	DD2	Z5 Z8
کیا-جا-رہا-ہے	VV0	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
نیچے	VBG	A3+ Z5
ہو	VV0	F1/B1 A1.1.1
جیہاں	VBR	A3+ Z5
اچھا	UH	Z4
واپس	RR	A5.1+ G2.2+ O4.2+
بنانے	VV0	S8+ K5.1/I1 M1 M6 K2
اسطرح	VV0	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
پر	DA	Z5 Z8
وہاں	RP	M6 A1.1.1
کے-ذریعے	RL	M6 T1.2
سال	RP	M6
ختم	NNT1	T1.3 P1c
گے	RP	T2- M6
ضروری	VM	T1.1.3
اب-بھی	VM	S6+ A7+
بھی	VV0	E3+/A2.1 E6+
لے	VV0	A6.1+
بھی	VV0	A9+ T1.3 C1 A1.1.1 M2 S7.1- A2.1+ X2.4 S6+ S7.4+ N3 A2.1+ P1 M1 X2.5+ F1@ F2@ Q1.2@ B3@
مزيد	RR	N5++
یہاں	RRR	A13.3 N6++
اپنے	RL	M6 T1.1.2 T1.2
آئے	VV0	A9+
آخری	VVN	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
کرتا	VV0	T2++ T1.3
اوہ	VDZ	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
کہنا	UH	Z4
نہیں	VV0	Q2.1 Z4%
ہوں	UH	Z4
کام	VBM	A3+ Z5
کہاں	VV0	I3.1 A1.1.1 X9.2+ A2.1+ A2.2
حیوان	RRQ	M6
ہمیں	UH	Z4
حکومت	PPIO2	Z8
اسی	NN	G1.1c
آدمی	DA	A6.1+++
ہوسکتا-ہے	VV0	I3.1
دن	VM	A7+
جی-ہاں	NNT1	T1.3
تاہم	UH	Z4
ڈال	RRQV	Z4
دنیا	VVN	M2 Q2.1 Q2.2 A1.1.1
ختم	NN1	W1 S5+c A4.1 N5+
دوسرے	RP	T2- M6
میں	DD1	A6.1- N5++
چاہتے-ہیں	RP	M6
کے-طور-پر	VV0	X7+ S6+ A7+ S3.2 A9-
زندگی	RG	A13
سب-سے-زیادہ	NN1	L1+ A3+ T1.3 S1.1.1 A1.1.1 X5.2+ Q4.1 A11.1+++ A5.4+/C1
کخلاف	RRT	N5+++
پھر	NN1	A5.1- S8-
کبھی-نہیں	RT	N6+ Z4
کے-تحت	RR	T1/Z6
پرانی	RP	M6
زیادہ-سے-زیادہ	JJ	T3+ Z4
کچھ	RR	A13.3 N6+
جناب	PN1	Z8
کیوں	NNB	S2.2m
ہر	RRQ	A2.2
جبکہ	RA	S1.1.2+
گھر	VV0	T1.3
حصہ	VV0	H4
تعداد	VV0	A10+ B4 S3.1-
بند	VV0	N5
مختلف	RP	M6 K1 A1.1.1 A1.9
چلا-گیا	JJ	A6.1-
واقعی	VVD	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
تھیلا	NN1	B5 O2 B1
سوچا	GE	Z5
آیا	VVN	X2.1
استعمال کیا جاتا ہے	VVD	M1 N3.1 A2.2 A3+ X2.1 A9+ S4 N4 S3.2
بچوں	JA	A1.5.1 T3+
