id	Token	POS	Semantic Tags
1	کے	AT	Z5
2	اور	IO	Z5
3	ایک	CC	Z5
4	کےاندر	AT1	Z5
5	کو	RP	M6
6	یہ	TO	Z5
7	ہے	PPH1	Z8
8	سے 	VBZ	A3+ Z5
9	تھا	TO	Z5
10	میں	VBDZ	A3+ Z5
11	کے- لئے	PPIS1	Z8mf
12	وہ	RP	M6
13	آپ	RG	A13.3 A6.1+
14	وہ	PPY	Z8mf
15	ساتھ	PPHS1	Z8m
16	پر	IW	Z5
17	کے-پاس	RP	M6 A1.1.1
18	پر	RP	M6
19	ہیں	II	Z5
20	نہیں	VBR	A3+ Z5
21	يے	XX	Z6
22	کا	RG	A13.3
23	لیکن	VHZ	A9+ A2.2 Z5
24	چکا-تھا	RR	A13.6
25	وہ	VHN	A9+ Z5 A2.2 S4
26	اسکا	PPHS2	Z8mfn
27	سے	PP$	Z8m
28	وہ	II	Z5
29	وہ	PPHS1	Z8f
30	جس	RG	A13.3 A6.1+
31	یا	DDQ	Z5 Z8
32	ہم	CC	Z5
33	کا	PPIS2	Z8
34	ایک	VHZ	A9+ A2.2 Z5
35	تھے	AT1	Z5
36	جيسا-کے	VBDR	A3+ Z5
37	کرنا	RG	A13
38	کیا گیا	VD0	A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% Z5
39	ان	VBN	A3+ Z5
40	ھوچکاھے	APPGE	Z8
41	گا	VHZ	A9+ Z5 A2.2 S4
42	وہاں	VM	A7+
43	کیا	RL	M6 T1.2
44	گے	DDQ	Z8 Z5
45	تمام	VV0	X7+
46	اگر	RR	A13.2
47	کر-سکتے	CSW	Z7
48	کہا	VV0	A1.1.1
49	جو	VVN	Q2.1
50	ایک	PNQS	Z8
51	پس	PN1	Z8
52	اوپر	RR	Z5 A13.3
53	 جیسا-کے	VV0	N5+/A2.1
54	ان	RG	A13
55	کچھ	PPHO2	Z8mfn
56	کب	RR	A13.5
57	سکتا	RRQ	Z5
58	اسے	VM	A7+
59	کیا-گیا	PPHO1	Z8m
60	اس	II	Z5
61	پھر	APPGE	Z8
62	دو	RT	N4 Z5 T1.2
63	باہر	MC	N1 T3 T1.2
64	وقت	VV0	S3.2
65	میرے	VV0	X7+/T1 N3.1/T1
66	کے-بارے-میں	APPGE	Z8
67	کیا	RP	Z5 M6
68	آپکا	VDD	A1.1.1 G2.2- X9.2+ E3- G2.1% Z5
69	اب	APPGE	Z8
70	مجھے	UH	Z4
71	نہیں	PPIO1	Z8mf
72	دیگر	UH	Z4
73	صرف	NN1	A6.1-/Z8
74	صرف	RR	A14
75	مزید	RR	A14 T3--- T1.3- N3.3---
76	ان	RRR	A13.3 N6++
77	بھی	DD2	Z5 Z8
78	لوگ	RR	N5++
79	جانتے-ہیں	VV0	S2
80	کوئی	VV0	X2.2+ S3.2/B1%
81	پہلے	RR	A13.3
82	دیکھیں	NN1	N4 P1@
83	بہت	VV0	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ Z4 S3.2
84	نئی	RG	A13.3
85	شايد	JJ	T3-
86	اچھی-طرح	VM	A7+
87	چاہئے	VV0	A10+ E1+
88	کیطرح	VM	S6+ A7+
89	مقابلے	VV0	E2+
90	کسطرح	CSN	Z5
91	حاصل	RRQ	Z5 A13.3
92	طریقہ	VV0	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
93	ایک	RR	A13.3
94	ہمارے	PN1	Z8
95	بنایا	APPGE	Z8
96	ملا	VVN	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
97	کے-بعد	VVN	A9+ Z5 X9.2+ A2.1+ A2.2 M1 M2 X2.5+ E4.1-
98	خیال	RR	N4
99	کے-درمیان	VV0	X2.1
100	بہتسے	RL	M6
101	سال	DA2	N5+
102	یر	NNT2	T1.3
103	ہے	UH	Z4
104	وہ	VH0	A9+ A2.2 Z5
105	جانا	DD2	Z5 Z8
106	کیا-جا-رہا-ہے	VV0	M1 A2.1+ A1.1.1 A9- A1.8+ Q2.1 N6+ I2.2 A1.1.2 T2- S3.2 A6.3+ B2-/X1% B1%
107	نیچے	VBG	A3+ Z5
108	ہو	VV0	F1/B1 A1.1.1
109	جیہاں	VBR	A3+ Z5
110	اچھا	UH	Z4
111	واپس	RR	A5.1+ G2.2+ O4.2+
112	بنانے	VV0	S8+ K5.1/I1 M1 M6 K2
113	اسطرح	VV0	A1.1.1 A9+ A2.2 S6+ A3+ A9- X9.2+ X6+
114	پر	DA	Z5 Z8
