POS	Count
at	1
io	1
cc	4
at1	3
rp	21
to	2
pph1	1
vbz	1
vbdz	1
ppis1	1
rg	12
ppy	1
pphs1	2
iw	1
ii	13
vbr	2
xx	1
vhz	3
rr	141
vhn	1
pphs2	1
pp$	1
ddq	2
ppis2	1
vbdr	1
vd0	1
vbn	1
appge	5
vm	8
rl	28
vv0	557
csw	2
vvn	99
pnqs	1
pn1	13
ppho2	1
rrq	6
ppho1	1
rt	9
mc	9
vdd	1
uh	16
ppio1	1
nn1	423
rrr	12
dd2	2
jj	147
csn	1
da2	3
nnt2	6
vh0	1
vbg	1
da	3
nnt1	13
vdz	1
vbm	2
ppio2	1
nn	16
rrqv	1
dd1	1
rrt	6
nnb	2
ra	5
vvd	39
ge	1
ja	1
nn2	93
cs	4
md	3
vvz	40
vdn	1
vhg	1
np1	60
jb	30
nnl1	17
ppx1	5
vdg	1
vvg	21
nno	4
ppx2	1
vvi	9
ddqge	1
nnu	1
nnl2	1
nd1	4
npm1	12
jjr	5
nnu2	3
pnqo	1
np2	2
nn11	1
npd1	4
pn	1
jj%	3
vvn@	1
vmk	1
jjt	2
nno2	1
