mwe_template	semantic_tags
Abaty_* Cymer_*	Z2
Abaty_* Dinas_* Basing_*	Z2
Abaty_* Glyn_* y_* Groes_*	Z2
Abaty_* Llandudoch_*	Z2
Abaty_* Nedd_*	Z2
Abaty_* Talyllychau_*	Z2
Abaty_* Tyndyrn_*	Z2
Abaty_* Ystrad_* Fflur_*	Z2
Abaty_* a_* Chartws_* Llandudoch_*	Z2
Abaty_* a_* Phorthdy_* Nedd_*	Z2
Adeiladau_* Mwynglawdd_* Plwm_* Bryntail_*	Z2
Adran_noun Iechyd_noun	G1.1
Amgueddfa'r_* Glannau_*	Z2
Amgueddfa_* Cerrig_* Margam_*	Z2
Amgueddfa_* Cymru_*	Z2
Amgueddfa_* Cymru_* Genedlaethol_*	Z2
Amgueddfa_* Genedlaethol_* Caerdydd_*	Z2
Amgueddfa_* Genedlaethol_* Cymru_*	Z2
Amgueddfa_* Genedlaethol_* y_* Glannau_*	Z2
Amgueddfa_* Lechi_*	Z2
Amgueddfa_* Lechi_* Cymru_*	Z2
Amgueddfa_* Lleng_* Rufeinig_*	Z2
Amgueddfa_* Lleng_* Rufeinig_* Cymru_*	Z2
Amgueddfa_* Werin_*	Z2
Amgueddfa_* Werin_* Cymru_*	Z2
Amgueddfa_* Wlân_*	Z2
Amgueddfa_* Wlân_* Cymru_*	Z2
Arfordir_* De_* Gŵyr_*	Z2
Bae_* Barafundle_*	Z2
Bannau_* Brycheiniog_*	Z2
Big_* Pit_*	Z2
Big_* Pit_* Amgueddfa_* Lofaol_* Cymru_*	Z2
Bryn_* Celli_* Ddu_*	Z2
Bryngaer_* Coed_* Llanmelin_*	Z2
Bwthyn_* Ogwen_*	Z2
Bwthyn_* Treftadaeth_*	Z2
Cae'r_* Gors_*	Z2
Caer_* Lêb_*	Z2
Caer_* Rufeinig_* Aberhonddu_*	Z2
Caer_* Rufeinig_* Caerllion_*	Z2
Caer_* Rufeinig_* Fach_* Caergybi_*	Z2
Caer_* Rufeinig_* Segontium_*	Z2
Caer_* a_* Baddonau_* Rhufeinig_* Caerllion_*	Z2
Caer_* y_* Twr_*	Z2
Caer_* y_* Tŵr_*	Z2
Canolfan_* Casgliadau_* Cenedlaethol_*	Z2
Canolfan_* Ymwelwyr_* a_* Siop_* Tyddewi_*	Z2
Capel_* Garmon_*	Z2
Capel_* Gwenffrewi_*	Z2
Capel_* Gwydir_* Uchaf_*	Z2
Capel_* Llugwy_*	Z2
Capel_* Runston_*	Z2
Capel_* Santes_* Non_*	Z2
Capel_* St_* Hilari_*	Z2
Capel_* a_* Ffynnon_* Sanctaidd_* Gwenffrewi_*	Z2
Capel_* y_* Rug_*	Z2
Carneddau_* a_* Glyderau_*	Z2
Cartws_* Llandudoch_*	Z2
Carwyn_pnoun Jones_pnoun	Z1
Castell_* Abertawe_*	Z2
Castell_* Biwmares_*	Z2
Castell_* Bronllys_*	Z2
Castell_* Bryn_* Gwyn_*	Z2
Castell_* Caerffili_*	Z2
Castell_* Caergwrle_*	Z2
Castell_* Caernarfon_*	Z2
Castell_* Carreg_* Cennen_*	Z2
Castell_* Cas-gwent_*	Z2
Castell_* Cas-wis_*	Z2
Castell_* Casllwchwr_*	Z2
Castell_* Casnewydd_*	Z2
Castell_* Cilgerran_*	Z2
Castell_* Coch_*	Z2
Castell_* Coety_*	Z2
Castell_* Conwy_*	Z2
Castell_* Cricieth_*	Z2
Castell_* Cydweli_*	Z2
Castell_* Dinbych_*	Z2
Castell_* Dinefwr_*	Z2
Castell_* Dolbadarn_*	Z2
Castell_* Dolforwyn_*	Z2
Castell_* Dolwyddelan_*	Z2
Castell_* Dryslwyn_*	Z2
Castell_* Ewlo_*	Z2
Castell_* Grysmwnt_*	Z2
Castell_* Harlech_*	Z2
