language,word,NoneExpert1_tags,NoneExpert2_tags,NoneExpert3_tags,NoneExpert4_tags,gold standard tags
ar,ابتسامة,"E4.1, E6","E4.1, E1","E4.1, E4.2, E2, E6, Q1.1, E1","E4.1, E1, E2","[E4.1, E1]"
ar,ابن,"S4, S2.2, Z1","S4, S2.2","S4, S2.2","S4, S2.2, E4.1, L1, S3.1","[S4, S2.2]"
ar,اجتماع,G1.1,"G1.1, G1.2, G3","A1.6, X5.2, G1.1, S7.1, Q2.1, P1, I2.1","A1.8, I2.1, S1.1.1","[X5.2, A1.6, B1]"
ar,اجنبي,"A6.2, A4.1, Q2.1, A6.1","A3, A6.2, A6.1, Q2.1","A6.2, A4.1, S2.2, S2.1, S5","A4.1, A6.1, M7, S5","[A6.2, A4.1]"
ar,اجهاد,"N5.2, A1.1.2, M1, M2","N5.2, A1.1.2, G2.1, M1, M2","Z84, N5.2, E1, E4.2, S1.2.5","A12, A1.1.2, X9.2, X8","[N5.2, G2.1, A1.1.2]"
ar,اختصاص,"S5, S2, A4.1","A4.1, Z85, S2, S5","S5, Z84, A4.1, S2, S8, Y1, Y2","P1, A4.2, A4.1","[A4.1, S5, S2]"
ar,اختفى,"X2.3, X3.2, X9.2","X3.2, X2.3, X5.2, T1.1.1","A14, A4.2, A1.2, A11.1","A10, X3.4, A3, T2, A1.9","[A4.2, A14]"
ar,اخيرا,"T2, N5.1, T1.3, T1.1.2","T2, N5.1, T1.3, T1.1.2","N5.1, T2, E4.1","T4, T2","[T2, N5.1]"
ar,ادنى,"M6, N3.1, N5.2","M6, N3.1, N5.1","A6, M6, T3","A5.3, S3.1, S3.2, S5","[M6, A6]"
ar,ارنب,"L2, F4","L2, F1","L2, E2",L2,[L2]
ar,استيقظ,"A10, E1, E4.1","A10, E1, E4.1","A10, E1, M8",T1.2,[A10]
ar,اسف,"E1, E4, E6","E6, E1, E4","E4, E1, E2, E4.1, E3","A1.4, E4.2, A1.3, E1","[E1, E4]"
ar,اسقفية ,"M7, S9, A11.2","S9, M7, A11.1, A5.1","S9, M7, H1, S7.1, E1, X2.3, S7.2, S7.4","S9, S7.1","[S9, M7]"
ar,اسم,"Z84, Z1, Z3, Z2, Z0","Z85, Z1, Z2","A1.1.1, S2.2, S2.1, Z1, Z2, Z3","A1.1.1, S2.2, S2.1, Z1, Z2, Z3","[B1, A1.1.1]"
ar,اشجار,"Z84, L3, L1, L2","L3, L2, Z3","Z3, H3, W5, W1","L3, F4","[Z1, Z3]"
